time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),battery_voltage (V),GPS_signal_to_noise_ratio (),GPS_time_since_last_fix (min),Unit_ID,drift_x (m),drift_y (m),U (m/s),u (m/s),v (m/s)
2016-01-18 13:00:00,-75.0616,-35.9552,,1.7,983.2,-25.5,15.6,48.0,60,2016P18,,,,,
2016-01-18 14:00:00,-75.0616,-35.9552,0.0,2.0,983.2,-25.5,15.6,48.0,120,2016P18,0.0,0.0,0.0,0.0,0.0
2016-01-18 15:00:00,-75.059,-35.961,,2.1,983.5,0.7,15.6,48.0,0,2016P18,-166.95923127271445,290.20933886148197,0.09300240823478008,-0.04637756424242068,0.08061370523930055
2016-01-18 16:00:00,-75.059,-35.961,,2.3,983.7,0.5,15.6,48.0,60,2016P18,0.0,0.0,0.0,0.0,0.0
2016-01-18 17:00:00,-75.059,-35.961,0.031,2.5,984.1,0.9,15.6,48.0,120,2016P18,0.0,0.0,0.0,0.0,0.0
2016-01-18 18:00:00,-75.0644,-35.949,,2.7,984.4,0.9,15.6,48.0,0,2016P18,345.4916185892802,-602.742547153161,0.19298320719979875,0.09596989405257784,-0.1674284853203225
2016-01-18 19:00:00,-75.0644,-35.949,,2.7,984.8,1.0,15.6,48.0,60,2016P18,0.0,0.0,0.0,0.0,0.0
2016-01-18 20:00:00,-75.0644,-35.949,0.064,2.7,985.3,1.2,15.6,48.0,120,2016P18,0.0,0.0,0.0,0.0,0.0
2016-01-18 21:00:00,-75.066,-35.9098,,2.5,985.5,1.1,15.6,48.0,0,2016P18,1128.2074943641137,-178.5904392493017,0.31729308112700094,0.31339097065669824,-0.049608455347028256
2016-01-18 22:00:00,-75.066,-35.9098,,2.3,986.0,1.2,15.6,48.0,60,2016P18,0.0,0.0,0.0,0.0,0.0
2016-01-18 23:00:00,-75.066,-35.9098,0.106,2.0,986.3,1.0,15.6,48.0,120,2016P18,0.0,0.0,0.0,0.0,0.0
2016-01-19 00:00:00,-75.0632,-35.8698,,1.5,986.9,1.4,15.6,52.0,0,2016P18,1151.1116683094826,312.53325221643337,0.33132905609841007,0.3197532411970785,0.0868147922823426
