time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),submerged_boolean (none),accelometer_variance (),sampling_ratio (s),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2019-01-16 23:57:51,-65.7782,-60.5636,0.0,-40.0,1024.0,-4.6,0.0,0.0,10.0,2019P93,,,,0.0,,,
2019-01-17 00:00:26,-65.778,-60.5641,0.171,5.8,1024.0,-4.6,0.0,0.0,60.0,2019P93,-22.899362383953513,22.300837674791133,31.964169918660623,155.0,0.20622045108813306,-0.14773782183195813,0.14387637209542667
2019-01-17 01:00:26,-65.776,-60.5741,0.142,0.8,992.6,25.5,0.0,4.0,60.0,2019P93,-457.9907967661123,223.00834440231134,509.39993285778735,3600.0,0.14149998134938538,-0.12721966576836452,0.06194676233397537
2019-01-17 02:00:25,-65.7762,-60.5822,0.104,-1.3,992.7,25.5,0.0,4.0,60.0,2019P93,-371.0012967924208,-22.300831793642104,371.67094225987887,3599.0,0.10327061468737951,-0.10308455037299828,-0.006196396719544903
2019-01-17 03:00:25,-65.7775,-60.587,0.071,-0.4,992.7,25.5,0.0,3.0,60.0,2019P93,-219.8509166533703,-144.95542099330743,263.33723555295813,3600.0,0.07314923209804393,-0.06106969907038064,-0.040265394720363175
2019-01-17 04:00:54,-65.7795,-60.5875,0.062,-0.9,992.8,0.2,0.0,3.0,60.0,2019P93,-22.899983557412515,-223.0083885175341,224.18106654246517,3629.0,0.061774887446256595,-0.006310273782698406,-0.061451746629246094
2019-01-17 05:00:27,-65.7815,-60.5842,0.076,-1.6,992.6,-0.1,0.0,5.0,60.0,2019P93,151.12817783964545,-223.00844733642637,269.3928241815939,3573.0,0.07539681617173072,0.042297278992344096,-0.0624149026970127
2019-01-17 06:00:26,-65.7828,-60.5779,0.09,-3.5,992.2,-0.5,0.0,3.0,60.0,2019P93,288.49506760479915,-144.95552230890675,322.86453425569306,3599.0,0.08970951215773633,0.08015978538616259,-0.04027661081103272
2019-01-17 07:00:55,-65.7829,-60.5697,0.103,-4.5,992.0,-0.8,0.0,3.0,60.0,2019P93,375.48259662719687,-11.150425822305847,375.64812306987636,3629.0,0.10351284736012024,0.10346723522380735,-0.003072589094049558
2019-01-17 08:00:26,-65.7816,-60.5614,0.115,-4.5,992.1,-0.5,0.0,3.0,60.0,2019P93,380.060179548774,144.9555242199419,406.76509693006415,3571.0,0.11390789608794852,0.10642962182827612,0.04059241787172834
2019-01-17 09:00:26,-65.7791,-60.5544,0.116,-2.1,992.2,0.0,0.0,4.0,60.0,2019P93,320.5488327004929,278.760553656118,424.804661486093,3600.0,0.11800129485724806,0.08904134241680357,0.07743348712669945
2019-01-17 10:00:55,-65.7765,-60.5502,0.096,0.9,992.1,0.1,0.0,4.0,60.0,2019P93,192.3479352695445,289.9108783096205,347.9167221688438,3629.0,0.09587123785308455,0.05300301330105939,0.07988726324321314
