time,latitude (deg),longitude (deg), FMTID, YEAR, MONTH, DAY, HOUR, MIN,temperature (degC),barometric_pressure (hPa),air temperature (degC), VBAT, GPSDELAY, SNR, TTFF, SBDTIME,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2019-07-27 02:00:00,-57.0323,-0.0877,40.0,2019.0,7.0,27.0,2.0,15.0,-1.3,1001.9,0.0,15.8,0.0,40.0,88.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-07-27 03:00:00,-57.025000000000006,-0.0713,40.0,2019.0,7.0,27.0,3.0,15.0,-1.3,1001.85,0.05,15.8,0.0,38.0,75.0,8.0,995.8002125058428,812.9308359598585,1285.4861365573245,3600.0,0.3570794823770346,0.2766111701405119,0.2258141210999607,0.9958002125058427,0.8129308359598585,1.2854861365573242
2019-07-27 04:00:00,-57.018299999999996,-0.0505,40.0,2019.0,7.0,27.0,4.0,15.0,-1.3,1002.45,0.65,15.8,0.0,36.0,36.0,8.0,1263.2137076554418,746.1137630351236,1467.1041607871748,3600.0,0.407528933551993,0.35089269657095606,0.20725382306531212,2.258766313186006,1.5590445989949526,2.744566508437942
2019-07-27 05:00:00,-57.0075,-0.0298,40.0,2019.0,7.0,27.0,5.0,15.0,-1.3,1003.25,1.15,15.8,0.0,40.0,30.0,7.5,1257.366690976731,1202.6891494906113,1739.9517768835503,3600.0,0.48331993802320844,0.34926852527131413,0.33408031930294757,3.515660409499455,2.761733748485372,4.470686906107935
2019-07-27 06:00:00,-56.995400000000004,-0.0077,40.0,2019.0,7.0,27.0,6.0,15.0,-1.3,1003.9,1.0,15.8,0.0,40.0,32.0,7.5,1342.7950983197993,1347.4548062552687,1902.2968041218235,3600.0,0.5284157789227287,0.37299863842216646,0.3742930017375746,4.857561746153197,4.1091885547404825,6.362494534072392
2019-07-27 07:00:00,-56.981300000000005,0.0142,40.0,2019.0,7.0,27.0,7.0,15.0,-1.3,1004.8,1.2000000000000002,15.8,0.0,40.0,27.0,8.5,1331.0750573307412,1570.1712998191508,2058.4457046577154,3600.0,0.5717904735160321,0.36974307148076146,0.43615869439420857,6.187319053959495,5.67935985455963,8.39869307887089
2019-07-27 08:00:00,-56.9641,0.0338,40.0,2019.0,7.0,27.0,8.0,15.0,-1.3,1006.05,1.8,15.8,0.0,40.0,27.0,13.5,1191.7322042171293,1915.38144295945,2255.861635517933,3600.0,0.6266282320883146,0.33103672339364704,0.5320504008220694,7.37742135081746,7.594741297519152,10.588032922301489
2019-07-27 09:00:00,-56.9464,0.047200000000000006,40.0,2019.0,7.0,27.0,9.0,15.0,-1.3,1007.55,2.1,15.8,0.0,40.0,25.0,10.5,815.1312651487116,1971.0556000798383,2132.9554983705193,3600.0,0.5924876384362554,0.22642535143019765,0.5475154444666217,8.191062631088219,9.565796897598574,12.59356888703581
2019-07-27 10:00:00,-56.9283,0.052599999999999994,40.0,2019.0,7.0,27.0,10.0,15.0,-1.3,1008.75,1.9,15.8,0.0,40.0,24.0,9.0,328.64145291750424,2015.5934208165993,2042.2100877762034,3600.0,0.5672805799378343,0.0912892924770845,0.5598870613379443,8.518947901290897,11.581390318415314,14.377102456767584
2019-07-27 11:00:00,-56.9118,0.055,40.0,2019.0,7.0,27.0,11.0,15.0,-1.3,1009.95,1.85,15.8,0.0,40.0,26.0,24.5,146.13362577109794,1837.4142977309425,1843.2163025773996,3600.0,0.5120045284937221,0.04059267382530498,0.5103928604808173,8.664674683803884,13.41880461614624,15.973130710742325
2019-07-27 12:00:00,-56.8969,0.0562,40.0,2019.0,7.0,27.0,12.0,15.0,-1.3,1011.15,1.85,15.8,0.0,40.0,28.0,9.5,73.09905793106877,1659.236593905245,1660.8460334494248,3600.0,0.461346120402618,0.020305293869741326,0.460899053862568,8.737538074059954,15.07804121005163,17.426758112961302
2019-07-27 13:00:00,-56.8818,0.0564,40.0,2019.0,7.0,27.0,13.0,15.0,-1.3,1012.45,1.95,15.8,0.0,40.0,31.0,10.5,12.188028485096591,1681.5041621992407,1681.548332796808,3600.0,0.4670967591102244,0.0033855634680823865,0.4670844894997891,8.74968197237055,16.75954537225088,18.9060650507228
2019-07-27 14:00:00,-56.8665,0.054900000000000004,40.0,2019.0,7.0,27.0,14.0,15.0,-1.3,1013.7,1.7999999999999998,15.8,0.0,38.0,41.0,9.0,-91.44708694907597,1703.771566983537,1706.2239367014545,3600.0,0.4739510935281818,-0.025401968596965547,0.47326987971764917,8.658602734585608,18.4633169392341,20.392779940802143
