time,latitude (deg),longitude (deg), FMTID, YEAR, MONTH, DAY, HOUR, MIN,surf temperature (degC),barometric_pressure (hPa),air temperature (degC), VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body,Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2019-07-27 02:00:00,-57.0346,-0.0918,40,2019,7,27,2,0,-1.3,1002.0,0.0,15.8,0,40,28,3, 2826ED880BE125BFFFFD80FFC000A0F6DB73AA3ABF,ISVP1_30min,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-07-27 02:30:00,-57.03,-0.0836,40,2019,7,27,2,30,-1.3,1001.8,0.0,15.8,0,40,148,9, 2826ED89EBDD25BFFFFD827FC000A0FC9B73FD2ABF,ISVP1_30min,497.86935283363727,512.25808767673,714.3404236645194,1800.0,0.39685579092473305,0.27659408490757625,0.28458782648707226,0.49786935283363726,0.5122580876767301,0.7143404236645196
2019-07-27 03:00:00,-57.0268,-0.0756,40,2019,7,27,3,0,-1.3,1001.7,0.0,15.8,0,36,98,8, 2826ED8C0BDB25BFFFFD823FC000A1009B744CC67F,ISVP1_30min,485.78620553083374,356.3532288376029,602.4747805402567,1800.0,0.33470821141125373,0.26988122529490766,0.1979740160208905,0.9835955490047209,0.8686113165146164,1.3122293333099797
2019-07-27 03:30:00,-57.0232,-0.067,40,2019,7,27,3,30,-1.3,1002.0,0.1,15.8,0,40,52,8, 2826ED8DEBE125C03FFD823FC000A1051B74A26ABF,ISVP1_30min,522.2650441610884,400.89716326646095,658.3914579242953,1800.0,0.36577303218016405,0.29014724675616027,0.22272064625914498,1.505751206078505,1.2695084797811562,1.9695020880524943
2019-07-27 04:00:00,-57.0206,-0.0558,40,2019,7,27,4,0,-1.3,1002.2,0.3,15.8,0,36,32,8, 2826ED900BE525C0BFFD823FC000A1085B7512427F,ISVP1_30min,680.2248689464046,289.53669580419154,739.281658470141,1800.0,0.41071203248341165,0.37790270497022477,0.16085371989121752,2.185767866493194,1.5590451755853014,2.684809681469063
2019-07-27 04:30:00,-57.016,-0.0452,40,2019,7,27,4,30,-1.3,1002.7,1.0,15.8,0,36,40,8, 2826ED91EBEF25C27FFD823FC000A10E1B757C527F,ISVP1_30min,643.8291861726043,512.256934475891,822.7534186415241,1800.0,0.45708523257862455,0.35768288120700237,0.2845871858199394,2.829355049494312,2.0713021100610867,3.5065000252734166
2019-07-27 05:00:00,-57.0104,-0.0352,40,2019,7,27,5,0,-1.3,1003.1,1.1,15.8,0,40,30,9, 2826ED940BF725C2BFFD827FC000A1151B75E03EBF,ISVP1_30min,607.4610222371385,623.6166261269789,870.5783077468594,1800.0,0.4836546154149219,0.3374783456872992,0.3464536811816549,3.436512753751517,2.6949187361878386,4.367173788773822
2019-07-27 05:30:00,-57.0046,-0.0244,40,2019,7,27,5,30,-1.3,1003.4,1.2,15.8,0,40,30,6, 2826ED95EBFD25C2FFFD81BFC000A11C5B764C3EBF,ISVP1_30min,656.1565035224659,645.8880563505454,920.7131683923681,1800.0,0.5115073157735378,0.3645313908458144,0.35882669797252525,4.092243053560262,3.3408067925386655,5.282749590363403
2019-07-27 06:00:00,-56.9984,-0.0134,40,2019,7,27,6,0,-1.3,1003.8,1.1,15.8,0,40,34,7, 2826ED980C0525C2BFFD81FFC000A1241B76BA46BF,ISVP1_30min,668.4115551939773,690.4313938910566,960.9732133556994,1800.0,0.533874007419833,0.37133975288554294,0.3835729966061425,4.760116480740558,4.031238186429253,6.237755223310969
2019-07-27 06:30:00,-56.9924,-0.002,40,2019,7,27,6,30,-1.3,1004.0,0.9,15.8,0,40,30,8, 2826ED99EC0925C23FFD823FC000A12B9B772C3EBF,ISVP1_30min,692.8326428860489,668.1587577806467,962.5243875598396,1800.0,0.5347357708665775,0.38490702382558273,0.3711993098781371,5.452276181727804,4.699396944209987,7.19803078633917
2019-07-27 07:00:00,-56.9854,0.009,40,2019,7,27,7,0,-1.3,1004.5,1.1,15.8,0,40,30,8, 2826ED9C0C1325C2BFFD823FC000A1345B779A3EBF,ISVP1_30min,668.6303024089394,779.5177355696055,1026.9928828219965,1800.0,0.5705516015677758,0.37146127911607746,0.4330654086497808,6.120149541462086,5.478914679779994,8.21430072971323
2019-07-27 07:30:00,-56.9772,0.0194,40,2019,7,27,7,30,-1.3,1005.1,1.3,15.8,0,40,24,9, 2826ED9DEC1F25C33FFD827FC000A13E9B780232BF,ISVP1_30min,632.278210275395,913.1482307377081,1110.6824147741168,1800.0,0.6170457859856204,0.3512656723752195,0.5073045726320601,6.751593408774529,6.392062910517557,9.297444907576589
