time,latitude (deg),longitude (deg), FMTID, YEAR, MONTH, DAY, HOUR, MIN,surf temperature (degC),barometric_pressure (hPa),air temperature (degC), VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body,Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2019-07-28 05:07:00,-57.1658,0.0044,40,2019,7,28,5,7,-3.7,1023.1,0.0,14.6,0,40,38,0, 2826EE147D8719BFFFFC003FC000A052DB776C4EBF,ISVP2,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-07-28 06:00:00,-57.1624,0.0168,40,2019,7,28,6,0,-5.2,1024.7,0.0,14.4,0,48,24,10, 2826EE180DA7123FFFFBC2BFC000A0571B77E8333F,ISVP2,750.2206814303203,378.63355850189174,840.3537603114415,3180.0,0.2642621887771829,0.23591845327997493,0.11906715676160118,0.7502206814303203,0.37863355850189173,0.8403537603114415
2019-07-28 07:00:00,-57.162,0.0284,40,2019,7,28,7,0,-5.5,1024.4,0.0,14.4,0,44,24,9, 2826EE1C0DA110BFFFFBC27FC000A0579B785C32FF,ISVP2,701.8837569394617,44.54511095057271,703.2958660230075,3600.0,0.19535996278416876,0.19496771026096157,0.012373641930714642,1.45204002308078,0.42317866945229055,1.512448483389713
2019-07-28 08:00:00,-57.1636,0.0444,40,2019,7,28,8,0,-5.8,1024.4,0.0,14.4,0,48,24,11, 2826EE200DA10F3FFFFBC2FFC000A0559B78FC333F,ISVP2,968.1259774068595,-178.18046095203556,984.3861969750831,3600.0,0.2734406102708564,0.26892388261301653,-0.04949457248667655,2.420066682928101,0.24499820850018508,2.432436406565837
2019-07-28 09:00:00,-57.1656,0.0638,40,2019,7,28,9,0,-6.0,1024.1,-0.6,14.4,0,48,24,8, 2826EE240D9B0E3E7FFBC23FC000A0531B79BE333F,ISVP2,1173.802055503276,-222.72564051727352,1194.7459882533801,3600.0,0.33187388562593895,0.3260561265286878,-0.061868233477020425,3.593798962047696,0.022272567982799998,3.5938679785016654
2019-07-28 10:00:00,-57.169,0.0852,40,2019,7,28,10,0,-6.0,1023.1,-1.3,14.4,0,48,24,8, 2826EE280D870E3CBFFBC23FC000A04EDB7A94333F,ISVP2,1294.7426784350994,-378.63375290747405,1348.9707640279285,3600.0,0.374714101118869,0.35965074400974983,-0.10517604247429835,4.888534483611485,0.356361184924096,4.90150616561676
2019-07-28 11:00:00,-57.173,0.1086,40,2019,7,28,11,0,-6.0,1022.2,-2.2,14.4,0,48,24,7, 2826EE2C0D750E3A7FFBC1FFC000A049DB7B7E333F,ISVP2,1415.6167313276685,-445.4517384438767,1484.0478365933843,3600.0,0.41223551016482896,0.39322686981324123,-0.12373659401218798,6.304273186043228,0.8018129233681884,6.355058171908726
2019-07-28 12:00:00,-57.1778,0.134,40,2019,7,28,12,0,-6.0,1020.9,-3.2,14.4,0,48,24,7, 2826EE300D5B0E37FFFBC1FFC000A043DB7C7C333F,ISVP2,1536.4436764241123,-534.542463463694,1626.774359298018,3600.0,0.45188176647167166,0.426789910117809,-0.1484840176288039,7.841014984961422,1.3363553868319762,7.954078307026177
2019-07-28 13:00:00,-57.1826,0.1612,40,2019,7,28,13,0,-5.7,1019.7,-3.5,14.4,0,44,24,9, 2826EE340D430FB73FFBC27FC000A03DDB7D8C32FF,ISVP2,1645.1122646133922,-534.5428750686373,1729.777571963531,3600.0,0.48049376998986976,0.45697562905927563,-0.14848413196351035,9.486659443031975,1.8708982619009669,9.669383004848438
2019-07-28 14:00:00,-57.188,0.189,40,2019,7,28,14,0,-5.6,1018.4,-3.8,14.4,0,44,24,9, 2826EE380D2910367FFBC27FC000A0371B7EA232FF,ISVP2,1681.1835435998948,-601.3612264102023,1785.5008910388933,3600.0,0.49597246973302594,0.4669954287777486,-0.1670447851139451,11.168604491359686,2.4722594883111086,11.438959448392325
2019-07-28 15:00:00,-57.1946,0.2178,40,2019,7,28,15,0,-5.5,1017.3,-3.6,14.4,0,44,24,7, 2826EE3C0D1310B6FFFBC1FFC000A02EDB7FC232FF,ISVP2,1741.4037288696984,-734.9977618311683,1890.1610134636987,3600.0,0.5250447259621386,0.48372325801936067,-0.2041660449531023,12.911050669825704,3.207257250142006,13.303447991682278
2019-07-28 16:00:00,-57.2008,0.2474,40,2019,7,28,16,0,-5.3,1015.9,-3.8,14.4,0,44,24,9, 2826EE400CF711B67FFBC27FC000A0271B80EA32FF,ISVP2,1789.4569113652929,-690.453151623707,1918.0410819948886,3600.0,0.5327891894430246,0.4970713642681369,-0.1917925421176964,14.701897530290747,3.897710401765813,15.209797413746266
2019-07-28 17:00:00,-57.2076,0.2764,40,2019,7,28,17,0,-5.2,1014.7,-3.7,14.4,0,44,24,9, 2826EE440CDF1236BFFBC27FC000A01E9B820C32FF,ISVP2,1752.8903916920906,-757.2719878954155,1909.4725944452632,3600.0,0.5304090540125731,0.4869139976922474,-0.21035332997094874,16.456442769782093,4.654982389661804,17.102145177818333
2019-07-28 18:00:00,-57.2162,0.307,40,2019,7,28,18,0,-5.0,1013.3,-4.0,14.4,0,44,24,8, 2826EE480CC31335FFFBC23FC000A013DB833E32FF,ISVP2,1849.2616119928339,-957.7275200792185,2082.5490419933512,3600.0,0.5784858449981531,0.5136837811091205,-0.2660354222442274,18.307789696838498,5.612709909740885,19.148829627801522
2019-07-28 19:00:00,-57.2258,0.3384,40,2019,7,28,19,0,-4.8,1011.9,-4.0,14.2,0,44,24,7, 2826EE4C0CA71435FFFB81FFC000A007DB847832FF,ISVP2,1897.1670755355535,-1069.0927449339188,2177.659801200928,3600.0,0.6049055003335911,0.5269908543154316,-0.29697020692608855,20.20753689175253,6.681802654674826,21.283586021804666
2019-07-28 20:00:00,-57.237,0.371,40,2019,7,28,20,0,-4.7,1010.5,-4.2,14.2,0,44,24,8, 2826EE500C8B14B57FFB823FC0009FF9DB85BE32FF,ISVP2,1969.1588459051195,-1247.2769484089808,2330.94108600771,3600.0,0.6474836350021417,0.5469885683069776,-0.3464658190024947,22.179884755526384,7.929079603083737,23.55456624776755
2019-07-28 21:00:00,-57.2496,0.4048,40,2019,7,28,21,0,-4.5,1009.1,-4.2,14.2,0,44,34,7, 2826EE540C6F15B57FFB81FFC0009FEA1B871046FF,ISVP2,2041.0245159062729,-1403.1892431199947,2476.836919649354,3600.0,0.6880102554581539,0.5669512544184091,-0.3897747897555541,24.224833041498503,9.33226884620404,25.96023454644253
2019-07-28 22:00:00,-57.2624,0.4408,40,2019,7,28,22,0,-4.3,1007.6,-4.3,14.2,0,48,24,7, 2826EE580C5116B53FFB81FFC0009FDA1B8878333F,ISVP2,2173.13081636676,-1425.4649891008187,2598.932084567632,3600.0,0.7219255790465644,0.6036474489907666,-0.3959624969724496,26.402882830924803,10.757733835304792,28.51036757137314
2019-07-28 23:00:00,-57.2744,0.479,40,2019,7,28,23,0,-4.1,1006.3,-4.1,14.2,0,48,24,10, 2826EE5C0C3717B5BFFB82BFC0009FCB1B89F6333F,ISVP2,2305.1338912813912,-1336.376082068916,2664.4968173109073,3600.0,0.7401380048085854,0.6403149698003865,-0.3712155783524767,28.714033647806755,12.094109917373295,31.15707340269438
2019-07-29 00:00:00,-57.2856,0.5176,40,2019,7,29,0,0,-4.1,1005.1,-4.0,14.2,0,44,24,9, 2826EE800C1F17B5FFFB827FC0009FBD1B8B7832FF,ISVP2,2328.5140638408734,-1247.2866607736369,2641.533978514868,3600.0,0.7337594384763523,0.6468094621780204,-0.34646851688156577,31.049382707820925,13.341396578146977,33.794334276504415
2019-07-29 01:00:00,-57.2968,0.5538,40,2019,7,29,1,0,-3.9,1003.5,-4.1,14.2,0,44,24,9, 2826EE840BFF18B5BFFB827FC0009FAF1B8CE232FF,ISVP2,2183.072989312923,-1247.2888979653644,2514.2667463209455,3600.0,0.6984074295335959,0.6064091636980341,-0.34646913832371234,33.23952646082417,14.588685476112536,36.30008076107775
2019-07-29 02:00:00,-57.3078,0.5898,40,2019,7,29,2,0,-3.7,1002.1,-4.2,14.2,0,44,24,9, 2826EE880BE319B57FFB827FC0009FA15B8E4A32FF,ISVP2,2170.352390332095,-1225.0180591734581,2492.207604418489,3600.0,0.692279890116247,0.6028756639811376,-0.34028279421484947,35.41756764978696,15.813703535285995,38.78759231673387
2019-07-29 03:00:00,-57.3168,0.6256,40,2019,7,29,3,0,-3.5,1000.8,-4.3,14.2,0,48,24,7, 2826EE8C0BC91AB53FFB81FFC0009F961B8FB0333F,ISVP2,2157.6507469844278,-1002.2891075457445,2379.0838995435415,3600.0,0.6608566387620949,0.5993474297178966,-0.27841364098492904,37.5835061627988,16.815992642831656,41.1739911115367
