time,latitude (deg),longitude (deg),altitude,geometry,temperature (degC),barometric_pressure (hPa),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2019-10-24 12:00:00+00:00,-59.3292,0.062,,Point,0.8,971.7,ISVP4,,,,0.0,,,
2019-10-24 13:00:00+00:00,-59.3242,0.0682,,Point,1.89,971.4,ISVP4,352.9394937837849,557.0038446952932,659.4084995491737,3600.0,0.18316902765254825,0.09803874827327358,0.154723290193137
2019-10-24 14:00:00+00:00,-59.3194,0.0746,,Point,2.27,971.0,ISVP4,364.3781517582243,534.7232859164009,647.0706530047338,3600.0,0.1797418480568705,0.10121615326617342,0.14853424608788912
2019-10-24 15:00:00+00:00,-59.3148,0.0818,,Point,0.89,970.5,ISVP4,409.9832117747417,512.442776694689,656.2650633118417,3600.0,0.18229585091995604,0.1138842254929838,0.1423452157485247
2019-10-24 16:00:00+00:00,-59.31,0.0896,,Point,-0.76,970.3,ISVP4,444.20847480778843,534.7225088885768,695.1613701890776,3600.0,0.1931003806080771,0.12339124300216345,0.1485340302468269
2019-10-24 17:00:00+00:00,-59.3048,0.098,,Point,-2.55,970.2,ISVP4,478.44577371720135,579.2822701496032,751.3177136854483,3600.0,0.20869936491262453,0.1329016038103337,0.1609117417082231
2019-10-24 18:00:00+00:00,-59.3,0.1068,,Point,-4.24,970.2,ISVP4,501.3054138668781,534.7216821141319,732.9627516424069,3600.0,0.20360076434511304,0.1392515038519106,0.14853380058725887
2019-10-24 19:00:00+00:00,-59.295,0.1164,,Point,35.52,970.1,ISVP4,546.9556723050533,557.0013301434556,780.6478010269751,3600.0,0.21684661139638198,0.15193213119584814,0.15472259170651542
2019-10-24 20:00:00+00:00,-59.29,0.126,,Point,34.59,970.1,ISVP4,547.0359172019834,557.0008994327136,780.7037188830774,3600.0,0.21686214413418817,0.15195442144499538,0.15472247206464265
2019-10-24 21:00:00+00:00,-59.2854,0.1348,,Point,33.75,969.9,ISVP4,501.5231447909969,512.4404470376943,717.0220892840355,3600.0,0.19917280257889874,0.1393119846641658,0.14234456862158176
2019-10-24 22:00:00+00:00,-59.281,0.143,,Point,33.42,969.7,ISVP4,467.39143757719927,490.1600864159793,677.282560114906,3600.0,0.18813404447636278,0.12983095488255536,0.13615557955999424
2019-10-24 23:00:00+00:00,-59.2772,0.15,,Point,32.12,969.5,ISVP4,399.04417341248745,423.3198061435886,581.7524478744381,3600.0,0.1615979021873439,0.11084560372569095,0.11758883503988572
2019-10-25 00:00:00+00:00,-59.2738,0.1564,,Point,32.04,969.5,ISVP4,364.8810366907805,378.75961560205195,525.9249160741035,3600.0,0.14609025446502877,0.1013558435252168,0.10521100433390332
2019-10-25 01:00:00+00:00,-59.2708,0.162,,Point,32.15,969.3,ISVP4,319.302730240605,334.1994953667407,462.21589786861364,3600.0,0.1283933049635038,0.0886952028446125,0.09283319315742797
