time,latitude (deg),longitude (deg),Altitude,temperature (degC),Battery Voltage,Unit_ID,drift_x (m),drift_y (m),U (m/s),u (m/s),v (m/s)
2019-10-30 12:00:12+00:00,-59.47418333,10.88903333,23,-2,6.3 V,Trident_U4,,,,,
2019-10-30 16:00:28+00:00,-59.46978333,10.93053333,3,-4,6.3 V,Trident_U4,2352.347825886993,490.1743749330139,0.16668116072774772,0.16317618104099565,0.03400210702920463
2019-10-30 20:00:28+00:00,-59.47218333,10.94976667,10,-6,6.2 V,Trident_U4,1090.346701761365,-267.36779966260883,0.07796175754903559,0.07571852095565035,-0.01856720830990339
2019-10-31 00:00:29+00:00,-59.48201667,10.96913333,6,-4,6.3 V,Trident_U4,1097.826827296227,-1095.4670657039553,0.10769348534818171,0.07623268018166982,-0.07606881922810606
2019-10-31 04:00:06+00:00,-59.49533333,10.9894,9,-3,6.3 V,Trident_U4,1148.5113883113486,-1483.52324600374,0.13049627079830395,0.0798853299235827,-0.1031872606248689
2019-10-31 08:00:10+00:00,-59.5159,11.01195,1,1,6.3 V,Trident_U4,1277.4045847619154,-2291.206103587656,0.18211885302420794,0.0886840172703357,-0.1590673495964771
2019-10-31 12:00:10+00:00,-59.53918333,11.03255,6,6,6.4 V,Trident_U4,1166.231831741369,-2593.861229436217,0.1974984954005236,0.08098832164870617,-0.18012925204418173
2019-10-31 16:00:28+00:00,-59.56206667,11.02623333,3,1,6.4 V,Trident_U4,-357.3604110912986,-2549.309713759947,0.17854314920605968,-0.02478571307333185,-0.176814378815366
2019-10-31 20:00:28+00:00,-59.58351667,11.01081667,4,-3,6.3 V,Trident_U4,-871.593521940106,-2389.6371713200597,0.17664080160451545,-0.06052732791250736,-0.16594702578611525
2019-11-01 00:00:29+00:00,-59.59948333,11.03631667,4,-3,6.3 V,Trident_U4,1440.7463632688364,-1778.770817097495,0.15895115864415668,0.10004488322122328,-0.12351717360582563
2019-11-01 04:00:00+00:00,-59.60156667,11.06838333,8163,-4,6.5 V,Trident_U4,1810.9031332531868,-232.09547499730547,0.12704167268097916,0.126010934051436,-0.01615026616083122
2019-11-01 08:00:28+00:00,-59.60631667,11.06268333,8163,7,6.5 V,Trident_U4,-321.87665752885107,-529.1762676054509,0.042929056012255745,-0.022309166726424388,-0.036677035459207856
2019-11-01 12:00:28+00:00,-59.61685,11.05986667,0,10,6.5 V,Trident_U4,-159.0331941072902,-1173.4725900730539,0.08223610631652181,-0.011043971813006264,-0.08149115208840652
2019-11-01 16:00:10+00:00,-59.61465,11.06725,14,6,6.5 V,Trident_U4,416.74434952705127,245.092610945067,0.033616541681289636,0.02897680082930408,0.01704162223230893
2019-11-01 20:00:28+00:00,-59.60816667,11.0549,6,-3,6.4 V,Trident_U4,-697.1284223600201,722.2796440250385,0.06962343070314235,-0.04835125692606603,0.050095689001597894
2019-11-02 00:00:28+00:00,-59.6115,11.03,2,-4,6.3 V,Trident_U4,-1405.817136531713,-371.3517317362462,0.10097479961056319,-0.09762619003692452,-0.02578831470390599
2019-11-02 04:00:09+00:00,-59.61503333,11.01753333,7933,-4,6.5 V,Trident_U4,-703.780036445283,-393.6330656684191,0.05607279522809175,-0.04893818485816585,-0.027371745057257427
2019-11-02 08:00:06+00:00,-59.6029,10.99085,7924,-1,6.5 V,Trident_U4,-1506.193989042417,1351.7211037811387,0.1405710180928961,-0.10461860033634902,0.09388908132118766
2019-11-02 12:00:28+00:00,-59.58546667,10.90783333,8162,-2,6.5 V,Trident_U4,-4687.73129845903,1942.1664546116428,0.35183289018566416,-0.3250403063693683,0.1346669293171296
2019-11-02 16:00:10+00:00,-59.5762,10.84596667,8170,-4,6.5 V,Trident_U4,-3495.255073486327,1032.3546144115116,0.25340879014875634,-0.2430298340624619,0.07178101894114251
2019-11-02 19:59:58+00:00,-59.55503333,10.8133,9,-6,6.3 V,Trident_U4,-1846.0629423209825,2358.070190791128,0.20814122534390606,-0.12830573688636243,0.16389145056930274
2019-11-03 00:00:28+00:00,-59.53276667,10.77285,2,-5,6.3 V,Trident_U4,-2287.3508245720172,2480.6061474139287,0.2338338856752434,-0.15851357065641145,0.1719061779219632
2019-11-03 04:00:30+00:00,-59.52068333,10.75863333,1,-7,6.3 V,Trident_U4,-804.4492996206989,1346.1349046115472,0.10888691544616953,-0.05585677681021378,0.09346860884679539
2019-11-03 08:00:11+00:00,-59.50575,10.77123333,7971,0,6.5 V,Trident_U4,713.22527711905,1663.6323184622177,0.1258655581409782,0.04959497094214937,0.1156826589571113
2019-11-03 12:00:28+00:00,-59.48331667,10.78201667,3,5,6.4 V,Trident_U4,610.6627255622883,2499.1549366413433,0.17844769263248064,0.042357128775909574,0.17334777947155047
2019-11-03 16:00:28+00:00,-59.4742,10.79158333,0,-2,6.4 V,Trident_U4,542.1214143188505,1015.6278829308231,0.07994849158164671,0.037647320438809063,0.07052971409241827
2019-11-03 20:00:28+00:00,-59.46913333,10.82053333,4,-6,6.3 V,Trident_U4,1640.9743754854712,564.4435634144736,0.12050949255359307,0.11395655385315773,0.03919746968156067
2019-11-04 00:00:28+00:00,-59.45486667,10.85166667,4,-6,6.3 V,Trident_U4,1764.9969402080512,1589.3500877061972,0.16493966203274188,0.12256923195889245,0.11037153386848592
2019-11-04 04:00:28+00:00,-59.4391,10.85718333,8,-7,6.3 V,Trident_U4,312.8797475396633,1756.4517783184506,0.12389590682154966,0.02172776024580995,0.12197581793878129
2019-11-04 08:00:28+00:00,-59.43348333,10.86436667,5,0,6.3 V,Trident_U4,407.59585854232904,625.7119444334005,0.0518583018876398,0.028305267954328407,0.04345221836343059
2019-11-04 12:00:28+00:00,-59.42376667,10.88591667,8163,3,6.5 V,Trident_U4,1222.9890804640809,1082.460431545189,0.11341838101124642,0.08492979725445006,0.07517086330174924
2019-11-04 16:00:10+00:00,-59.42488333,10.90315,0,-2,6.4 V,Trident_U4,978.2930589093229,-124.39865794230444,0.06856977754351139,0.068022045536735,-0.008649607700062886
2019-11-04 20:00:00+00:00,-59.45196667,10.90046667,7,-5,6.3 V,Trident_U4,-152.32091999663268,-3017.156946669903,0.2099374186520943,-0.010585192494554044,-0.209670392402356
