time,capture_id,capture/date,date/epoch,latitude (deg),longitude (deg),gps/sats,battery/voltage,mppt/battery_voltage,device/memory,device/disk/root,device/disk/home,device/disk/sd,iridium/signalQuality,temperature/battery,temperature/internal,temperature (degC),temperature/water,hmo,theta,dp,s,r,qf_mvar,qf_p_accel,qf_p_gyro,qf_p_mag,powerf_diff,tp,hs_dir,qf_kist,qf_imu,qf_p_kist,qf_head,a,b,nst,f2,yaw_std,open_water,hz_max.0,hz_max.1,hz_max.2,hz_max.3,hcm_max.0,hcm_max.1,hcm_max.2,hcm_max.3,htm_max.0,htm_max.1,htm_max.2,htm_max.3,tz_max.0,tz_max.1,tz_max.2,tz_max.3,moments.0,moments.1,moments.2,moments.3,moments.4,moments.5,moments.6,psd.0,psd.1,psd.2,psd.3,psd.4,psd.5,psd.6,psd.7,psd.8,psd.9,psd.10,psd.11,psd.12,psd.13,psd.14,psd.15,psd.16,psd.17,psd.18,psd.19,psd.20,psd.21,psd.22,psd.23,psd.24,psd.25,psd.26,psd.27,psd.28,psd.29,psd.30,psd.31,psd.32,psd.33,psd.34,psd.35,psd.36,psd.37,psd.38,psd.39,psd.40,psd.41,psd.42,psd.43,psd.44,psd.45,psd.46,psd.47,psd.48,psd.49,psd.50,psd.51,psd.52,psd.53,psd.54,direction.0,direction.1,direction.2,direction.3,direction.4,direction.5,direction.6,direction.7,direction.8,direction.9,direction.10,direction.11,direction.12,direction.13,direction.14,direction.15,direction.16,direction.17,direction.18,direction.19,direction.20,direction.21,direction.22,direction.23,direction.24,direction.25,direction.26,direction.27,direction.28,direction.29,direction.30,direction.31,direction.32,direction.33,direction.34,direction.35,direction.36,direction.37,direction.38,direction.39,direction.40,direction.41,direction.42,direction.43,direction.44,direction.45,direction.46,direction.47,direction.48,direction.49,direction.50,direction.51,direction.52,direction.53,iridium_latitude,iridium_longitude,Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2017-07-04 12:00:22+00:00,20170704/1145,YYYY-MM-DDTHH:05:00Z00,1499169622,-62.7866325378,29.8381938934,5,10.31,,49,74,49,2,5,0,2.0,,,5.5380930901,32.9539794922,55.4863128662,60.1363716125,14.4240779877,7.9088921547,0,0,0,,15.0588235855,4.8558268547,1,0,99,2,-5.0142831802,-17.1756439209,,0.0390620008,1.820201993,1,7.5932588577,7.5910391808,6.0726499557,6.0723662376,4.046462059,4.0442380905,3.8080530167,3.8059608936,-4.0752501488,-4.0741081238,-3.4782760143,-3.4782159328,14.34375,15.6666669846,18.0416679382,17.7000007629,577.1119384766,35.5210456848,2.2469730377,0.1456650048,0.0096690003,0.000657,4.6e-05,0.0841630027,0.9283890128,3.7314629555,6.1404829025,7.0387067795,33.0802307129,99.215133667,32.2028541565,35.677482605,180.5774536133,86.1287155151,26.8416023254,34.1299247742,8.6209011078,7.0225691795,5.5413150787,2.792509079,1.4687969685,1.9205750227,0.5738189816,0.4115689993,0.2281689942,0.0750389993,0.0342609994,0.0232740007,0.0117189996,0.0103350002,0.0033869999,0.0046939999,0.006755,0.0028870001,0.0032009999,0.000763,0.001621,0.001028,0.0021800001,0.0010470001,0.001087,0.000668,0.000541,0.000217,0.00033,0.000241,0.000173,0.000144,7.2e-05,6.4e-05,3.7e-05,3e-05,3.8e-05,1.7e-05,4e-06,3e-06,1e-06,1e-06,358,256,377,23,584,576,172,377,555,549,237,169,592,263,319,545,227,458,485,392,365,255,216,521,78,252,200,173,152,179,469,312,250,608,233,87,425,189,494,546,468,187,611,237,281,6,208,606,104,231,205,403,408,323,,,WIIOS_NYU1,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-07-04 12:15:37+00:00,20170704/1200,YYYY-MM-DDTHH:05:00Z00,1499170537,-62.7890815735,29.8471374512,5,10.3,,49,74,49,2,4,0,1.31,,,4.5058832169,32.5262298584,61.042427063,69.5816574097,15.9107751846,7.8826951981,0,0,0,,13.4736843109,3.0813789368,1,0,99,2,-5.7592630386,-20.1651992798,,0.0351560004,1.8866120577,1,5.251390934,5.2497777939,5.0284891129,4.8172459602,2.6691501141,2.6656489372,2.5222890377,2.4495849609,-2.5851490498,-2.6886870861,-2.6874740124,-2.4847331047,14.75,14.4333333969,16.0769233704,18.375,329.0292053223,20.7023792267,1.3609780073,0.0928039998,0.0065370002,0.000474,3.5e-05,0.2990809977,0.9777879715,1.6184370518,3.0151939392,7.8824071884,15.7693595886,28.8786144257,55.1007385254,20.7408885956,31.6265335083,25.3383903503,81.4361114502,14.1432552338,19.1573829651,25.2179279327,8.5695438385,2.0307240486,2.0628409386,1.2246069908,0.3614479899,0.3658530116,0.181971997,0.0707449988,0.0118150003,0.0032510001,0.0068879998,0.0038729999,0.0030410001,0.001783,0.001575,0.000653,0.000213,0.000342,0.000198,0.00037,0.000201,0.000196,0.000338,0.000108,0.000154,0.000116,8.5e-05,3.3e-05,5.9e-05,7.5e-05,5.6e-05,4.9e-05,3.1e-05,2.6e-05,1.3e-05,3e-06,1e-06,1e-06,0.0,0.0,196,188,398,416,212,610,97,139,542,432,760,624,473,694,439,635,438,293,425,121,394,236,84,230,251,339,369,395,358,163,35,104,215,283,457,868,252,515,363,259,251,207,96,172,80,57,177,673,399,39,200,86,533,289,,,WIIOS_NYU1,456.4998047289812,-272.96530433613265,531.8854473370328,915.0,0.5812955708601452,0.49890689041418707,-0.29832273697937994,0.4564998047289812,0.27296530433613264,0.5318854473370328
2017-07-04 12:30:52+00:00,20170704/1215,YYYY-MM-DDTHH:05:00Z00,1499171452,-62.7910194397,29.8569335938,6,10.3,,50,74,49,2,1,0,1.06,,,5.2559428215,24.307975769,36.1618003845,72.6709671021,14.2182331085,7.8628091812,0,0,0,,17.0666675568,4.0415029526,1,0,99,2,-6.0220551491,-21.858921051,,0.0351560004,1.8119009733,1,6.9871220589,6.9829668999,9.9481887817,9.944691658,3.6035869122,3.6019499302,5.2195458412,5.21808815,-3.3835349083,-3.5569550991,-4.7286429405,-4.7266039848,16.0333328247,16.0333328247,15.6666669846,15.375,501.4743041992,31.6515026093,2.0578799248,0.1377329975,0.0094910003,0.000673,4.9e-05,0.0823609978,0.4659590125,0.7407850027,1.124802947,13.8124256134,16.7268562317,52.1720237732,92.9859008789,70.7211608887,81.2746505737,41.6197547913,43.7802886963,28.8838348389,26.3069038391,25.0147895813,20.4988193512,4.8085589409,3.0043039322,0.9397079945,0.3696610034,0.2571380138,0.1216820031,0.0446010008,0.0153790005,0.0055109998,0.0121649997,0.0041609998,0.001665,0.000642,0.000493,0.000616,0.000424,0.000432,0.000576,0.000646,0.000586,0.000192,0.000291,0.000259,0.000177,7.6e-05,2.4e-05,3.1e-05,7.7e-05,8.9e-05,4.3e-05,4e-05,1.9e-05,2.6e-05,1.8e-05,7e-06,3e-06,2e-06,0.0,1e-06,364,333,260,692,90,202,215,362,77,148,122,17,166,74,348,462,433,493,208,73,288,223,186,143,80,365,364,366,418,35,71,424,188,399,44,298,388,62,134,163,841,22,68,398,32,224,862,146,95,93,85,169,61,254,,,WIIOS_NYU1,499.9761932798416,-215.9912994793901,544.6360576544644,915.0,0.5952306641032398,0.5464220691582968,-0.23605606500479792,0.9565175002272477,0.4889566038158261,1.0742459162855074
2017-07-04 12:46:21+00:00,20170704/1230,YYYY-MM-DDTHH:05:00Z00,1499172381,-62.792881012,29.866317749,7,10.3,,50,74,49,2,4,0,0.87,,,4.849211216,23.712638855,62.0138549805,64.2615432739,19.2336769104,7.8505029678,0,0,0,,17.0666675568,3.5706949234,1,0,99,2,-4.5096731186,-17.2194671631,,0.0351560004,1.7961239815,1,5.0469927788,7.7835459709,7.7805228233,5.7202382088,2.7887420654,4.2101359367,4.2087030411,3.2558100224,-2.6468930244,-3.7300260067,-3.5718200207,-3.0639150143,18.0,18.2307682037,14.9583330154,15.125,463.6536254883,27.6297740936,1.692579031,0.1063899994,0.0068649999,0.000456,3.1e-05,0.2520900071,0.5494660139,1.6694710255,6.3334817886,4.8631920815,53.084274292,40.4113578796,96.4262237549,49.0169525146,95.9012527466,11.5099992752,30.8150024414,13.6516027451,10.3682775497,10.3883371353,2.8307929039,1.236839056,1.4438300133,1.3886320591,0.334683001,0.0667930022,0.257171005,0.0325610004,0.0236990005,0.0357250012,0.0070779999,0.0051259999,0.006087,0.002137,0.0024860001,0.0024989999,0.001912,0.001479,0.0012150001,0.000881,0.000608,0.000817,0.000692,0.000399,0.000297,0.000308,0.000271,0.000196,0.000108,0.000154,7.1e-05,4.2e-05,4.8e-05,2e-05,1e-05,7e-06,3e-06,2e-06,2e-06,1e-06,252,191,418,285,156,620,280,212,129,229,333,472,243,144,159,45,93,328,454,396,235,728,136,535,87,278,246,398,216,351,359,34,186,117,165,400,277,122,101,109,172,74,251,271,54,164,59,383,105,275,146,123,152,52,,,WIIOS_NYU1,478.91769114304924,-207.48776649720355,521.9323022536421,929.0,0.5618216385938021,0.515519581424165,-0.22334528148245808,1.4355064041743717,0.6964443703130155,1.5955291903836568
2017-07-04 13:00:21+00:00,20170704/1245,YYYY-MM-DDTHH:05:00Z00,1499173221,-62.7942466736,29.876077652,10,10.3,,50,74,49,2,5,0,0.62,,,4.7409172058,24.8535194397,20.5081672668,75.8762359619,16.0316562653,7.8493671417,0,0,0,,16.0,3.2332930565,1,0,99,2,-4.7864451408,-16.9707527161,,0.0390620008,1.7674230337,1,8.0087480545,8.0042238235,6.2787690163,5.1695289612,4.0678219795,4.065776825,3.1321070194,2.3475310802,-3.940926075,-3.9384469986,-3.5350239277,-2.8323259354,16.0,16.4333324432,15.5416669846,15.5,399.3613891602,23.7926254272,1.4646209478,0.0931079984,0.0061189998,0.000416,2.9e-05,0.177523002,0.4431029856,1.6952660084,4.9953842163,14.3258419037,45.1490020752,44.3249130249,34.5266532898,74.2542953491,73.9736480713,11.6136817932,17.0790634155,7.8263349533,14.1118774414,14.3827905655,9.4356937408,2.209225893,2.0644049644,1.2397060394,0.223853007,0.3036119938,0.1365090013,0.0348960012,0.0255960003,0.0375510007,0.0062950002,0.0053579998,0.0024989999,0.001836,0.002291,0.0020079999,0.001435,0.000686,0.000922,0.000647,0.000718,0.000418,0.00044,0.000615,0.000467,0.000317,0.000159,0.000101,0.000133,6.7e-05,3.7e-05,3.8e-05,2.1e-05,2e-05,1.1e-05,7e-06,3e-06,2e-06,2e-06,1e-06,118,334,322,456,99,340,205,520,145,99,827,417,334,96,402,332,82,21,201,172,754,292,378,484,350,57,220,98,490,162,198,313,148,47,466,136,94,432,596,182,65,186,271,108,56,21,117,149,103,228,190,65,170,272,,,WIIOS_NYU1,498.0624399539373,-152.21441610853378,520.8026714256862,840.0,0.6200031802686741,0.5929314761356397,-0.18120763822444497,1.933674333501223,0.8486587864214383,2.1117097726277887
2017-07-04 13:15:40+00:00,20170704/1300,YYYY-MM-DDTHH:05:00Z00,1499174140,-62.7954216003,29.8851547241,12,10.28,,50,74,49,2,5,0,0.37,,,5.4606080055,21.284658432,20.5221691132,79.088760376,13.4653835297,7.840195179,0,0,0,,17.0666675568,4.7178359032,1,0,99,2,-4.6915807724,-17.8366565704,,0.03125,1.7903289795,1,8.1942415237,8.1925487518,8.5944852829,6.4205551147,3.9590260983,3.9573020935,4.2225627899,4.2203431129,-4.4812369347,-4.4799752235,-4.8902211189,-3.0998680592,15.733332634,14.90625,16.727273941,17.3333320618,520.3300170898,31.7849235535,2.019026041,0.1330640018,0.0090960003,0.000645,4.7e-05,0.4927709997,0.9345030189,3.0436298847,6.5275421143,13.3001623154,57.9599685669,30.420753479,84.0135574341,64.7087173462,48.5476226807,67.4678192139,38.7714576721,38.3929672241,10.2451477051,19.5712146759,12.2299585342,7.4327578545,7.4132361412,2.3749289513,1.2218569517,0.9165400267,0.2583130002,0.0991720036,0.0334720016,0.0110470001,0.0138100004,0.00661,0.0045349998,0.001932,0.001763,0.001259,0.001147,0.001392,0.000563,0.001082,0.000977,0.000872,0.000536,0.000376,0.000204,0.000161,0.000189,0.000313,0.00012,0.000122,7.6e-05,5e-05,7.4e-05,2.4e-05,1.6e-05,6e-06,4e-06,1e-06,1e-06,1e-06,245,405,303,593,82,535,21,299,205,122,567,146,66,35,101,308,149,409,113,196,84,129,109,273,232,273,384,189,183,237,322,266,159,80,239,105,100,99,100,140,433,116,463,100,193,289,145,240,218,196,70,104,77,247,,,WIIOS_NYU1,463.19511181179803,-130.95543886074518,481.35126318890497,919.0,0.5237772178334112,0.5040207963131643,-0.1424977571934115,2.3969889910154754,0.979614225281959,2.5894401428540803
2017-07-04 13:30:51+00:00,20170704/1315,YYYY-MM-DDTHH:05:00Z00,1499175051,-62.7968025208,29.8954792023,9,10.28,,51,74,49,2,5,0,0.18,,,4.9894618988,23.0345821381,9.9223365784,73.7809677124,17.6721744537,7.8317351341,0,0,0,,19.6923084259,3.1721389294,1,0,99,2,-5.0433320999,-17.5534152985,,0.0390620008,1.7616080046,1,8.9171142578,8.77368927,4.7314147949,3.5854449272,4.3713431358,4.0248250961,2.3261959553,2.0158200264,-4.750731945,-4.7488641739,-2.6129419804,-1.8561439514,18.6923084259,17.5357131958,19.75,25.5,437.5813598633,25.7283668518,1.5757869482,0.1005420014,0.0066889999,0.000464,3.4e-05,0.1767459959,0.883449018,1.4207229614,4.013584137,22.2333221436,74.7691879272,50.4406967163,42.2829284668,27.166601181,26.0561943054,59.0671310425,15.5708255768,23.4506721497,28.3332958221,9.5079498291,5.7690391541,2.3246059418,7.2289261818,0.6750180125,0.8688139915,0.2089139968,0.1585219949,0.0737150013,0.0570029989,0.0289210007,0.0062879999,0.0065270001,0.0060859998,0.003426,0.002543,0.001508,0.0019769999,0.001339,0.001003,0.001316,0.000905,0.000721,0.000404,0.000414,0.000348,0.000222,0.000252,0.000219,0.000201,0.000117,8.6e-05,4.8e-05,2.4e-05,2.7e-05,1.4e-05,5e-06,4e-06,2e-06,2e-06,1e-06,674,371,246,792,99,149,297,64,123,296,506,530,126,485,137,261,103,311,306,151,84,149,507,419,204,268,278,62,130,96,108,138,223,99,115,159,54,119,194,78,59,346,276,165,331,262,46,83,314,30,274,48,603,93,,,WIIOS_NYU1,526.828175240533,-153.91520442846223,548.8513609179857,911.0,0.6024713072645288,0.5782965699676542,-0.1689519258270716,2.9239741131052073,1.1335294297106289,3.1360028032719436
2017-07-04 13:45:51+00:00,20170704/1330,YYYY-MM-DDTHH:05:00Z00,1499175951,-62.7981567383,29.9057216644,11,10.3,,51,74,49,2,5,0,0.06,,,5.417388916,23.0274734497,15.370303154,78.7675247192,13.7568883896,7.8360071182,1,0,0,,17.0666675568,4.2568840981,1,0,99,2,-5.7149629593,-18.4498462677,,0.0390620008,1.7311919928,1,10.5964660645,10.5931148529,4.5377130508,4.5356330872,5.4850258827,5.4813728333,2.8104279041,2.8078041077,-5.8505439758,-5.8476829529,-2.5634469986,-2.5629711151,13.5277776718,16.178571701,19.6499996185,26.1000003815,564.5643920898,33.7069587708,2.1166100502,0.1394360065,0.0096089998,0.00069,5.1e-05,0.2024970055,1.1594489813,5.4766001701,8.0961971283,50.9739646912,31.988817215,70.4452514648,92.0067062378,14.0829553604,31.3832931519,21.1456222534,26.9401035309,83.2884216309,58.4438056946,23.2074489594,9.669459343,7.4909639359,1.4743299484,0.9487640262,0.4961430132,0.9561169744,0.2470829934,0.1194749996,0.0986320004,0.0275170002,0.0256500002,0.0177049991,0.007088,0.0034060001,0.0060700001,0.0026420001,0.001729,0.0011690001,0.001585,0.00126,0.000881,0.000553,0.000459,0.000768,0.000588,0.000378,0.000325,0.000192,0.000185,0.000201,0.00013,7.1e-05,5.7e-05,4.1e-05,2.5e-05,9e-06,6e-06,4e-06,2e-06,1e-06,62,56,382,287,182,515,341,91,402,154,147,567,40,90,313,49,246,55,197,282,360,240,217,390,211,313,74,342,99,211,827,30,198,779,93,45,235,575,40,307,124,97,49,413,110,126,107,195,290,116,131,133,417,85,,,WIIOS_NYU1,522.6186604782831,-150.93896005863385,543.9787072521284,900.0,0.6044207858356982,0.5806874005314256,-0.1677099556207043,3.446772926206883,1.2844683897692963,3.6783287848082975
2017-07-04 14:00:51+00:00,20170704/1345,YYYY-MM-DDTHH:05:00Z00,1499176851,-62.7995223999,29.9153175354,10,10.3,,51,74,50,2,5,0,0.12,,,5.8506259918,24.0008487701,18.7438640594,66.0132369995,21.923997879,7.8242092133,0,0,0,,17.0666675568,3.8179030418,1,0,99,2,-5.3650622368,-17.398733139,,0.0390620008,1.71232903,1,9.1988525391,9.1943178177,8.1422357559,8.1391792297,5.1377081871,5.1349620819,3.6228580475,3.6222839355,-5.0412569046,-5.0385022163,-4.5193781853,-4.5168948174,18.1538467407,17.3076915741,18.625,20.8999996185,816.249206543,45.0777015686,2.5672008991,0.1508660018,0.0091749998,0.000579,3.8e-05,0.1914730072,1.2307269573,12.2506132126,14.2995891571,48.1580848694,122.4304046631,121.8166427612,126.052772522,78.1435012817,24.1385250092,26.6892356873,7.9586019516,32.7706031799,25.8705463409,3.4044430256,3.6137700081,2.7309100628,1.1532050371,0.2217890024,0.4846709967,1.1172039509,0.3489449918,0.1615509987,0.0643920004,0.0253509991,0.0113289999,0.0050559998,0.0048179999,0.0055740001,0.001798,0.0024540001,0.00233,0.001347,0.000898,0.001301,0.0017199999,0.001151,0.000479,0.000385,0.000481,0.00034,0.000147,0.000134,0.000237,6.1e-05,8.9e-05,4e-05,3e-05,2e-05,1.5e-05,8e-06,5e-06,3e-06,2e-06,1e-06,348,478,428,147,187,398,38,468,504,282,89,626,561,165,120,78,722,93,28,114,106,209,661,198,282,281,165,102,248,150,108,576,106,68,57,771,326,101,66,63,194,23,200,125,213,161,243,139,487,71,34,208,93,249,,,WIIOS_NYU1,489.60405382446567,-152.21453116406676,512.7196046757398,900.0,0.5696884496397109,0.5440045042494063,-0.16912725684896307,3.936568223348965,1.4366829209335752,4.190540202931246
2017-07-04 14:15:21+00:00,20170704/1400,YYYY-MM-DDTHH:05:00Z00,1499177721,-62.8005828857,29.923997879,10,10.28,,51,74,50,2,5,0,0.18,,,5.7184019089,19.9308128357,33.6727180481,41.9333457947,17.1962299347,7.8275408745,0,0,0,,19.6923084259,3.144010067,1,0,99,2,-4.7137231827,-17.3467216492,,0.0351560004,1.6984499693,1,7.3887448311,7.3836221695,11.3468255997,11.3432331085,4.2941951752,4.2915887833,5.7056350708,5.7040171623,-3.8680028915,-3.8666520119,-5.6411910057,-5.6392149925,14.71875,16.5,16.0,16.375,666.542175293,39.7425384521,2.4435689449,0.1546490043,0.0100729996,0.000676,4.7e-05,0.5314339995,1.1623239517,1.6309640408,4.0033531189,11.3594226837,101.7286758423,87.6448974609,56.2624320984,63.9848670959,87.0524215698,93.2867584229,72.1385345459,10.719865799,6.8203949928,10.5810661316,6.68998909,1.3271210194,4.8529438972,0.7903770208,0.6422169805,0.3497300148,0.3976539969,0.1034820005,0.0708179995,0.0151620004,0.0178420004,0.0170879997,0.0074959998,0.0025859999,0.0034070001,0.0035339999,0.0028230001,0.001746,0.001952,0.001994,0.001306,0.0012769999,0.000861,0.000847,0.000678,0.000409,0.000296,0.000171,0.000257,0.000199,8.1e-05,4.5e-05,1.7e-05,2.8e-05,1.4e-05,7e-06,4e-06,2e-06,2e-06,1e-06,552,723,243,238,234,154,203,337,407,414,308,71,590,59,181,95,204,79,167,560,131,97,380,96,104,17,272,207,13,174,282,114,163,152,114,131,97,247,109,346,129,122,77,90,52,85,51,225,71,221,36,337,135,67,,,WIIOS_NYU1,442.8711684569144,-118.20012872006451,458.37336558730425,870.0,0.5268659374566715,0.5090473200654189,-0.1358622169196144,4.3796328803359925,1.5548830496534554,4.64745580555854
