time,capture_id,capture/date,date/epoch,latitude (deg),longitude (deg),gps/sats,battery/voltage,mppt/battery_voltage,device/memory,device/disk/root,device/disk/home,device/disk/sd,iridium/signalQuality,temperature/battery,temperature/internal,temperature (degC),temperature/water,hmo,theta,dp,s,r,qf_mvar,qf_p_accel,qf_p_gyro,qf_p_mag,powerf_diff,tp,hs_dir,qf_kist,qf_imu,qf_p_kist,qf_head,a,b,nst,f2,yaw_std,open_water,hz_max.0,hz_max.1,hz_max.2,hz_max.3,hcm_max.0,hcm_max.1,hcm_max.2,hcm_max.3,htm_max.0,htm_max.1,htm_max.2,htm_max.3,tz_max.0,tz_max.1,tz_max.2,tz_max.3,moments.0,moments.1,moments.2,moments.3,moments.4,moments.5,moments.6,psd.0,psd.1,psd.2,psd.3,psd.4,psd.5,psd.6,psd.7,psd.8,psd.9,psd.10,psd.11,psd.12,psd.13,psd.14,psd.15,psd.16,psd.17,psd.18,psd.19,psd.20,psd.21,psd.22,psd.23,psd.24,psd.25,psd.26,psd.27,psd.28,psd.29,psd.30,psd.31,psd.32,psd.33,psd.34,psd.35,psd.36,psd.37,psd.38,psd.39,psd.40,psd.41,psd.42,psd.43,psd.44,psd.45,psd.46,psd.47,psd.48,psd.49,psd.50,psd.51,psd.52,psd.53,psd.54,direction.0,direction.1,direction.2,direction.3,direction.4,direction.5,direction.6,direction.7,direction.8,direction.9,direction.10,direction.11,direction.12,direction.13,direction.14,direction.15,direction.16,direction.17,direction.18,direction.19,direction.20,direction.21,direction.22,direction.23,direction.24,direction.25,direction.26,direction.27,direction.28,direction.29,direction.30,direction.31,direction.32,direction.33,direction.34,direction.35,direction.36,direction.37,direction.38,direction.39,direction.40,direction.41,direction.42,direction.43,direction.44,direction.45,direction.46,direction.47,direction.48,direction.49,direction.50,direction.51,direction.52,direction.53,iridium_latitude,iridium_longitude,Unit_ID,drift_x (m),drift_y (m),U (m/s),u (m/s),v (m/s)
2017-07-04 12:00:18+00:00,20170704/1145,YYYY-MM-DDTHH:05:00Z00,1499169618,-62.7802429199,29.8452701569,5,11.72,,51,74,49,1,0,0,-1.37,,,4.8985290527,46.9741744995,19.407579422,62.6931610107,1.8833299875,8.1693668365,0,0,0,,17.0666675568,5.3640999794,1,0,99,2,-5.1295309067,-12.3629751205,,0.0585939996,0.0609190017,1,6.454228878,8.9341697693,8.9302539825,4.2307009697,3.6150779724,4.768239975,4.7658338547,1.7141879797,-2.8391509056,-4.1659288406,-4.1644201279,-2.5165119171,13.1666669846,14.78125,17.3571434021,20.0,362.4006958008,23.7753582001,1.6018220186,0.1113220006,0.0080629997,0.000627,5.8e-05,11.7758293152,98.0305404663,117.2375717163,92.7402420044,28.4131278992,47.261089325,33.4083175659,89.1241073608,88.9962158203,51.6096763611,15.5807781219,36.4553565979,33.0993041992,20.6241054535,15.3048648834,5.4937181473,17.0408554077,6.9650888443,1.7352520227,1.4866349697,0.6948509812,0.8043280244,0.1819300056,0.3012290001,0.2628389895,0.4201990068,0.1738789976,0.1685570031,0.1535100043,0.1638759971,0.1331789941,0.1741340011,0.0639500022,0.1268739998,0.0465699993,0.0451139994,0.0181280002,0.0223919991,0.0338140018,0.0309149995,0.0320650004,0.0118570002,0.0076680002,0.0115149999,0.013154,0.0099069998,0.0042659999,0.004774,0.002264,0.0026199999,0.0014750001,0.000695,0.000532,0.000478,0.000392,468,549,45,571,41,194,160,210,282,553,258,293,277,387,814,504,457,330,847,772,532,675,331,503,106,208,488,681,176,464,274,598,305,360,400,389,554,759,685,753,437,641,380,361,819,748,455,593,562,430,618,399,804,865,,,WIIOS_NYU2,,,,,
2017-07-04 12:15:18+00:00,20170704/1200,YYYY-MM-DDTHH:05:00Z00,1499170518,-62.7786598206,29.8578109741,7,11.69,,51,74,49,1,5,0,-1.75,,,5.3124017715,38.8215446472,39.2193183899,64.3801422119,8.9533843994,7.5272841454,2,2,1,,17.0666675568,5.1468682289,1,0,99,2,-5.1673312187,-16.8165931702,,0.0390620008,-2.2239689827,1,7.2691559792,7.266108036,7.2546901703,5.1537051201,3.6189770699,3.6708340645,3.669656992,2.6590549946,-3.6501789093,-3.6483619213,-3.5850329399,-2.6510848999,16.5,15.15625,17.6071434021,23.7000007629,492.092590332,30.7346897125,2.000328064,0.1352369934,0.0094830003,0.000689,5.2e-05,0.1553390026,1.3400950432,5.222173214,9.1790380478,9.910405159,12.4896030426,51.8558502197,101.3648223877,48.2596054077,39.1017417908,47.6273231506,31.2031078339,69.2434387207,33.2953910828,26.0497188568,2.3768839836,11.6574630737,2.3005619049,4.8507361412,2.5334379673,0.4585730135,0.1297820061,0.0663359985,0.0797360018,0.0367420018,0.0195829999,0.0192699991,0.0088510001,0.0125299999,0.0110499999,0.0183889996,0.0065330002,0.0060709999,0.002839,0.004032,0.003364,0.0039679999,0.002357,0.00127,0.001044,0.001004,0.000503,0.000547,0.000302,0.000333,0.000287,0.000312,0.000244,0.000119,5.1e-05,1.4e-05,8e-06,5e-06,4e-06,2e-06,121,315,249,236,472,492,386,217,392,94,184,403,280,345,133,523,219,256,697,217,272,295,112,846,382,759,399,82,566,335,240,517,401,315,301,490,322,422,674,341,201,281,447,316,538,661,397,477,353,516,265,765,666,778,,,WIIOS_NYU2,640.250837120428,176.44931089862368,0.737911210950832,0.7113898190226977,0.19605478988735964
2017-07-04 12:30:20+00:00,20170704/1215,YYYY-MM-DDTHH:05:00Z00,1499171420,-62.7811431885,29.8665428162,10,11.7,,52,74,49,1,4,0,-1.81,,,5.7178092003,18.0710868835,16.3831729889,79.2558517456,12.5532646179,7.6938891411,0,0,1,,17.0666675568,3.6975109577,1,0,99,2,-5.380592823,-17.2727108002,,0.0429689996,-1.8156210184,1,7.2037382126,7.2003068924,8.8593959808,8.8563566208,3.3544740677,3.3532121181,5.2971320152,5.2941651344,-3.8492639065,-3.8470950127,-4.9981641769,-4.9961352348,15.766667366,17.25,18.2916679382,18.6000003815,685.5724487305,40.3251876831,2.4267199039,0.1495620012,0.0094680004,0.000618,4.2e-05,0.3619340062,1.4904509783,4.0877370834,7.1430659294,14.4961051941,59.4420852661,89.4180755615,154.1514434814,149.7866973877,52.6959838867,15.0564689636,13.7152280807,23.6918048859,12.3879852295,3.5316860676,10.4752559662,5.7102689743,3.2281010151,1.1135460138,0.969137013,0.4576050043,0.3502379954,0.1420399994,0.0688420013,0.0453310013,0.0174599998,0.0071120001,0.0136099998,0.0106469998,0.003635,0.0020109999,0.002816,0.0031280001,0.002109,0.001623,0.001477,0.001042,0.001156,0.000679,0.000817,0.000477,0.000278,0.000318,0.000194,9.5e-05,0.00011,6.3e-05,3.5e-05,3.6e-05,1.7e-05,1e-05,5e-06,4e-06,3e-06,1e-06,79,149,241,83,183,43,164,83,63,101,77,445,237,90,330,43,307,151,191,150,74,450,222,74,138,408,28,396,370,117,153,169,235,346,149,631,108,67,263,157,312,151,131,291,94,113,255,116,42,148,106,43,56,135,,,WIIOS_NYU2,445.81377864406744,-276.79159667068836,0.5817637537414502,0.49425030891803484,-0.30686429786107355
2017-07-04 12:45:34+00:00,20170704/1230,YYYY-MM-DDTHH:05:00Z00,1499172334,-62.7830924988,29.8758468628,10,11.7,,52,74,49,1,4,0,-1.87,,,4.2762761116,14.4589624405,4.6835389137,78.5721359253,7.631690979,7.6822929382,0,0,0,,17.0666675568,3.0482060909,1,0,99,2,-5.8299670219,-19.8524608612,,0.0390620008,-1.7429620028,1,6.8335709572,5.2274961472,5.2251777649,2.7717530727,3.3276460171,3.0651481152,2.9574170113,1.7388310432,-3.5059249401,-2.9252679348,-2.2677609921,-1.578889966,15.6666669846,14.625,15.3846149445,15.1000003815,274.8020324707,16.0727291107,0.9831290245,0.0626560003,0.0041629998,0.000289,2.1e-05,0.4144470096,0.9333369732,1.8546600342,4.7196941376,14.8388252258,19.2082672119,26.016078949,53.9278068542,22.4521808624,39.1827468872,17.98579216,4.938586235,18.7549629211,7.1977472305,3.4428880215,3.0530369282,3.3467741013,4.579100132,1.9057329893,0.9502949715,0.5275530219,0.3268339932,0.1021950021,0.0608769991,0.0300590005,0.0060359999,0.0061150002,0.0037789999,0.00321,0.002567,0.00077,0.001809,0.000205,0.000412,0.000181,0.000211,0.000205,0.000142,5.8e-05,9e-05,6.6e-05,5.4e-05,3.4e-05,2.8e-05,1.4e-05,1.8e-05,2.1e-05,1.1e-05,1.2e-05,4e-06,2e-06,1e-06,1e-06,0.0,0.0,198,229,102,12,240,5,48,54,102,47,68,179,117,298,59,27,25,79,94,60,26,551,71,398,139,189,398,32,149,155,95,352,222,142,179,177,734,168,98,79,147,56,54,55,96,34,41,311,44,44,128,164,146,89,,,WIIOS_NYU2,474.98833762202077,-217.26659257450922,0.5714666180537037,0.5196808945536332,-0.2377096198845834
2017-07-04 13:00:31+00:00,20170704/1245,YYYY-MM-DDTHH:05:00Z00,1499173231,-62.7847671509,29.8855991364,10,11.7,,52,74,49,1,5,0,-2.12,,,4.4122838974,11.4040584564,3.7873859406,57.5321044922,13.882434845,7.6803941727,0,0,0,,12.1904764175,2.3653171062,1,0,99,2,-5.7645859718,-18.6785793304,,0.0390620008,-1.7077759504,1,6.1616301537,5.6439738274,7.4697217941,7.4675159454,2.9571630955,2.8234510422,3.3139839172,3.31397295,-3.2044670582,-2.8205230236,-4.1557369232,-4.1535429955,16.2666664124,14.5625,14.6428565979,15.3999996185,341.3854980469,20.6459102631,1.3188860416,0.0885580033,0.0062219999,0.000455,3.5e-05,0.2373159975,1.5616580248,3.6731350422,4.0386347771,11.6679925919,49.3480834961,35.3475837708,24.8120918274,24.8389072418,11.6409101486,33.2141113281,27.6089248657,18.9077720642,52.7159576416,19.2098884583,7.6050229073,5.5767669678,1.4036329985,1.4850510359,0.360698998,0.7830989957,0.0916950032,0.0410449989,0.0121630002,0.0134650003,0.0099149998,0.0085009998,0.0083720004,0.0039650002,0.0029819999,0.0025480001,0.001511,0.0016580001,0.001478,0.00111,0.0010160001,0.000761,0.000436,0.000259,0.000256,0.000209,9.6e-05,8e-05,6.8e-05,4.4e-05,4.2e-05,2.7e-05,5e-06,1.8e-05,1e-05,3e-06,3e-06,1e-06,1e-06,1e-06,69,93,63,26,57,38,42,71,8,40,39,52,50,30,70,74,74,104,46,8,19,74,133,569,393,32,89,165,35,25,164,391,117,48,45,51,63,125,209,24,176,53,194,75,561,133,93,149,74,56,329,191,128,124,,,WIIOS_NYU2,497.83824724373284,-186.6537359414583,0.5927301892960306,0.5550036201156442,-0.20808666214209398
2017-07-04 13:15:18+00:00,20170704/1300,YYYY-MM-DDTHH:05:00Z00,1499174118,-62.7860069275,29.8951911926,13,11.7,,52,74,49,1,5,0,-2.37,,,6.3766927719,12.9361886978,3.0251851082,76.7453155518,12.9747962952,7.6835961342,0,0,0,,18.2857131958,3.7263469696,1,0,99,2,-5.370513916,-17.8796043396,,0.0390620008,-1.688002944,1,7.401848793,9.8519153595,9.84603405,6.5543818474,4.195690155,5.0308837891,5.0283727646,3.6578009129,-4.5682721138,-4.8210310936,-4.8176608086,-3.012914896,15.8333330154,15.9666671753,19.9166679382,23.8999996185,719.0714111328,42.7096557617,2.6387999058,0.169689998,0.0113709997,0.000795,5.8e-05,0.5291370153,1.8155610561,3.8149700165,9.6148395538,22.3112735748,77.3942718506,125.4998474121,82.520324707,71.1274719238,54.3268737793,51.8800621033,38.2485733032,29.9515953064,44.4656257629,25.1240901947,12.7165994644,14.1913909912,2.4546129704,3.0176169872,1.894759059,1.0010470152,0.4697709978,0.0908460021,0.0528069995,0.0185669996,0.0187880006,0.0038119999,0.003457,0.0023429999,0.0027449999,0.0020300001,0.001988,0.002114,0.001639,0.00076,0.00045,0.0006,0.000608,0.000321,0.00039,0.000293,0.000318,0.000177,0.000285,9.9e-05,5.5e-05,3.8e-05,4.9e-05,2.3e-05,1.4e-05,6e-06,5e-06,2e-06,2e-06,1e-06,66,126,14,73,109,30,14,37,173,81,228,68,91,327,28,79,211,226,14,12,54,67,72,225,147,176,441,112,45,84,18,24,617,8,173,4,79,93,206,53,331,98,159,85,90,74,72,268,213,45,202,486,51,107,,,WIIOS_NYU2,489.6316119752615,-138.18331726888377,0.5735705282329282,0.5520085817082993,-0.15578727989727595
2017-07-04 13:30:32+00:00,20170704/1315,YYYY-MM-DDTHH:05:00Z00,1499175032,-62.7873191833,29.9057769775,8,11.69,,53,74,49,1,5,0,-2.56,,,5.925992012,9.015414238,6.9963059425,78.1371536255,15.519906044,7.6774439812,0,0,0,,16.0,4.7756772041,1,0,99,2,-5.8328790665,-19.0982437134,,0.0390620008,-1.6688770056,1,8.3149499893,8.1315326691,8.1274642944,3.8693599701,4.0367751122,4.4524450302,4.4502220154,2.4899630547,-4.614677906,-4.485033989,-4.2628741264,-1.8731379509,16.3666667938,16.1333332062,14.8846149445,13.8999996185,586.0249633789,35.7154655457,2.2526640892,0.1468220055,0.0098890001,0.000688,5e-05,0.2646940053,1.6987279654,3.6396288872,6.404779911,10.8864116669,43.2356376648,89.1993255615,33.0638580322,130.526473999,81.456413269,33.1994132996,11.5980386734,74.406791687,19.5759754181,9.3184776306,10.5334415436,7.6114668846,6.1276130676,0.7516009808,0.8065220118,0.6789079905,0.1693280041,0.231836006,0.0477639996,0.0476259999,0.0094600003,0.015904,0.0037150001,0.0016580001,0.001509,0.001463,0.000741,0.000293,0.000693,0.000349,0.000571,0.000266,0.000272,0.00015,0.00017,9e-05,4.6e-05,3.5e-05,7.2e-05,1.4e-05,2.7e-05,1.2e-05,1.6e-05,8e-06,7e-06,3e-06,1e-06,1e-06,0.0,0.0,104,239,108,27,70,160,68,49,27,12,79,7,59,83,64,128,43,28,273,49,46,19,53,129,77,108,191,473,73,206,80,43,67,31,187,36,284,25,174,79,12,12,62,160,52,40,99,27,63,53,51,106,23,47,,,WIIOS_NYU2,540.3343179535506,-146.2617480518532,0.6124507909811786,0.5911754025750007,-0.16002379436745426
2017-07-04 13:45:30+00:00,20170704/1330,YYYY-MM-DDTHH:05:00Z00,1499175930,-62.7885131836,29.9150714874,6,11.7,,53,74,49,1,5,0,-2.68,,,4.8464379311,11.704577446,10.4967699051,75.770324707,9.3542470932,7.6758918762,0,0,1,,17.0666675568,2.6610178947,1,0,99,2,-6.2394371033,-19.9523525238,,0.0390620008,-1.7161489725,1,5.9866929054,7.518901825,8.0427131653,8.0406513214,3.2960391045,4.2666969299,4.2655110359,3.5193300247,-3.3516271114,-3.7666211128,-4.5235648155,-4.5213198662,17.6428565979,16.5,16.3928565979,17.0833320618,457.6337280273,27.0126743317,1.6788270473,0.1093290001,0.0074379998,0.000527,3.9e-05,0.0839599967,2.35166502,7.2065558434,10.4255027771,41.7671356201,20.5373821259,15.0965366364,70.2968597412,50.7979698181,64.5130462646,18.9039955139,24.1603736877,34.7728309631,11.9784603119,38.7817382813,7.5139708519,2.4758019447,3.1333799362,1.2578530312,1.0070079565,0.3499470055,0.1362369955,0.2363409996,0.1191060022,0.0217209999,0.0131700002,0.0067599998,0.00379,0.003604,0.0035310001,0.00135,0.001555,0.001396,0.000609,0.000418,0.000407,0.000528,0.000265,0.000308,0.000249,0.000108,0.000114,7e-05,5.2e-05,3e-05,2.3e-05,2e-05,2.1e-05,1e-05,5e-06,3e-06,1e-06,1e-06,1e-06,0.0,197,516,157,48,16,271,81,72,105,84,15,14,45,63,47,72,32,455,185,25,105,62,143,294,121,181,5,129,131,245,191,10,153,26,86,120,100,146,73,7,60,18,166,102,100,128,50,242,92,122,127,107,60,116,,,WIIOS_NYU2,474.4021679512411,-133.08121969492328,0.5486803520357579,0.5282874921506026,-0.1481973493261952
2017-07-04 14:00:36+00:00,20170704/1345,YYYY-MM-DDTHH:05:00Z00,1499176836,-62.789768219,29.9245414734,8,11.7,,53,74,49,1,5,0,-2.56,,,6.6317138672,13.1745567322,1.0924119949,77.8294296265,11.0519447327,7.6703028679,0,0,0,,17.0666675568,5.4983568192,1,0,99,2,-4.9491448402,-17.1539916992,,0.0390620008,-1.7835240364,1,10.1166095734,9.5243730545,9.2134246826,6.2703437805,5.5565829277,5.1996469498,5.1978302002,3.2517309189,-5.2675709724,-5.2646098137,-4.0155959129,-3.168692112,16.1071434021,17.0,16.2916679382,24.7000007629,784.3817749023,46.7717514038,2.8833420277,0.1835220009,0.0120630004,0.000819,5.8e-05,0.3276210129,0.5718280077,2.847413063,16.4216041565,42.4781303406,31.0763149261,89.169593811,186.8934173584,62.458530426,61.6056022644,98.7155075073,41.6338424683,44.0415306091,6.1459150314,26.7410392761,16.1149177551,5.0472350121,1.8840999603,1.5471080542,0.3062239885,0.733272016,0.3213880062,0.1320700049,0.0228780005,0.0530599989,0.0183470007,0.0084640002,0.0065359999,0.012197,0.0047960002,0.002692,0.0025559999,0.002357,0.001885,0.000985,0.000855,0.001228,0.000575,0.000854,0.000661,0.000291,0.000334,0.00014,0.000115,8.4e-05,9.3e-05,5.8e-05,3.4e-05,2.5e-05,1.6e-05,1e-05,6e-06,3e-06,2e-06,1e-06,41,114,77,11,44,80,17,11,93,58,161,104,304,150,78,18,23,24,85,29,56,74,183,212,110,96,59,149,102,327,119,135,270,309,194,153,197,189,566,46,100,186,496,213,22,79,55,173,131,110,34,95,171,181,,,WIIOS_NYU2,483.339102628189,-139.88411150245088,0.5553798867309323,0.5334868682430342,-0.15439747406451532
2017-07-04 14:15:56+00:00,20170704/1400,YYYY-MM-DDTHH:05:00Z00,1499177756,-62.7905769348,29.9335708618,9,11.69,,53,74,49,1,5,0,-2.5,,,4.6654429436,17.8372688293,5.982003212,71.3558349609,14.3498020172,7.6636061668,0,0,0,,13.4736843109,2.6776499748,1,0,99,2,-5.3432321548,-17.7568378448,,0.0390620008,-1.7999269962,1,5.3447937965,6.2194252014,6.6398830414,6.3558311462,2.7439870834,3.1778240204,3.5345749855,3.5335569382,-2.8534810543,-3.1949388981,-3.4627890587,-2.8222739697,17.0,17.1071434021,17.3846149445,21.3999996185,379.1434326172,22.8174781799,1.4290030003,0.0928469971,0.0062489999,0.000435,3.1e-05,0.1746609956,0.5988579988,2.4029901028,9.4089479446,14.8604869843,38.8858985901,22.5061511993,67.8981628418,26.9037761688,30.5319976807,22.1680278778,72.1359024048,34.1544876099,6.3872718811,3.3639769554,2.4839251041,5.5157928467,1.6694079638,0.7011979818,1.5260790586,0.4241789877,0.2551870048,0.1489360034,0.0268360004,0.0131900003,0.0070969998,0.0157890003,0.005413,0.0026370001,0.0024949999,0.003145,0.0030469999,0.001667,0.000836,0.00092,0.000951,0.000725,0.000806,0.000882,0.000609,0.000331,0.000311,0.000171,9.6e-05,5.2e-05,5.3e-05,4e-05,2.2e-05,1.9e-05,7e-06,5e-06,3e-06,2e-06,1e-06,1e-06,99,89,13,181,52,60,138,98,21,51,44,27,226,119,55,47,64,158,34,60,69,484,20,152,134,541,78,74,158,11,221,179,517,422,82,145,91,66,751,133,66,336,72,310,265,214,131,403,371,472,533,228,88,178,,,WIIOS_NYU2,460.83181409083073,-90.13810117883885,0.5103962170666999,0.5009041457509029,-0.09797619693352048
