time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),battery_voltage (V),GPS_signal_to_noise_ratio (),GPS_time_since_last_fix (min)
2015-12-23T16:00:00,-70.5352,-11.2634,NaN,2.0,992.4,-25.5,15.400000,44.000000,60
2015-12-23T17:00:00,-70.5352,-11.2634,0.000,1.9,991.9,-25.5,15.400000,44.000000,120
2015-12-23T18:00:00,-70.5434,-11.3338,NaN,1.8,991.4,-1.5,15.400000,48.000000,0
2015-12-23T19:00:00,-70.5434,-11.3338,NaN,1.7,991.1,-1.3,15.400000,48.000000,60
2015-12-23T20:00:00,-70.5434,-11.3338,0.257,1.5,990.9,-1.0,15.400000,48.000000,120
2015-12-23T21:00:00,-70.5546,-11.3872,NaN,1.4,990.4,-1.1,15.400000,48.000000,0
2015-12-23T22:00:00,-70.5546,-11.3872,NaN,1.2,990.0,-1.2,15.400000,48.000000,60
2015-12-23T23:00:00,-70.5546,-11.3872,0.217,0.9,989.6,-1.3,15.400000,48.000000,120
2015-12-24T00:00:00,-70.5616,-11.4036,NaN,0.7,989.1,-1.3,15.400000,48.000000,0
2015-12-24T01:00:00,-70.5616,-11.4036,NaN,0.3,988.8,-1.2,15.400000,48.000000,60
2015-12-24T02:00:00,-70.5616,-11.4036,0.092,0.1,988.4,-1.1,15.400000,48.000000,120
2015-12-24T03:00:00,-70.5616,-11.4190,NaN,0.0,988.1,-0.9,15.400000,44.000000,0
2015-12-24T04:00:00,-70.5616,-11.4190,NaN,-0.1,987.9,-0.9,15.400000,44.000000,60
2015-12-24T05:00:00,-70.5616,-11.4190,0.053,0.2,987.6,-0.8,15.400000,44.000000,120
2015-12-24T06:00:00,-70.5618,-11.4660,NaN,0.3,987.5,-0.6,15.400000,48.000000,0
2015-12-24T07:00:00,-70.5618,-11.4660,NaN,0.3,987.5,-0.4,15.400000,48.000000,60
2015-12-24T08:00:00,-70.5618,-11.4660,0.162,0.4,987.4,-0.2,15.400000,48.000000,120
2015-12-24T09:00:00,-70.5678,-11.4926,NaN,0.2,987.5,0.0,15.400000,48.000000,0
2015-12-24T10:00:00,-70.5678,-11.4926,NaN,-0.3,987.6,0.1,15.400000,48.000000,60
2015-12-24T11:00:00,-70.5678,-11.4926,0.111,-0.2,987.9,0.5,15.400000,48.000000,120
2015-12-24T12:00:00,-70.5586,-11.4734,NaN,0.1,988.1,0.6,15.400000,48.000000,0
2015-12-24T13:00:00,-70.5586,-11.4734,NaN,0.3,988.3,0.7,15.400000,48.000000,60
2015-12-24T14:00:00,-70.5586,-11.4734,0.116,0.7,988.5,0.6,15.400000,48.000000,120
2015-12-24T15:00:00,-70.5424,-11.4924,NaN,1.3,988.6,0.5,15.400000,44.000000,0
2015-12-24T16:00:00,-70.5424,-11.4924,NaN,1.1,988.5,0.2,15.400000,44.000000,60
2015-12-24T17:00:00,-70.5424,-11.4924,0.180,1.1,988.8,0.3,15.400000,44.000000,120
2015-12-24T18:00:00,-70.5406,-11.5542,NaN,1.4,989.0,0.4,15.400000,48.000000,0
2015-12-24T19:00:00,-70.5406,-11.5542,NaN,1.6,989.4,0.9,15.400000,48.000000,60
2015-12-24T20:00:00,-70.5406,-11.5542,0.214,1.3,989.9,1.1,15.400000,48.000000,120
2015-12-24T21:00:00,-70.5472,-11.5954,NaN,0.9,990.1,1.1,15.400000,48.000000,0
2015-12-24T22:00:00,-70.5472,-11.5954,NaN,0.4,990.3,0.9,15.400000,48.000000,60
2015-12-24T23:00:00,-70.5472,-11.5954,0.157,0.0,990.6,0.7,15.400000,48.000000,120
2015-12-25T00:00:00,-70.5522,-11.5972,NaN,-0.6,990.9,0.8,15.400000,48.000000,0
2015-12-25T01:00:00,-70.5522,-11.5972,NaN,-2.0,991.2,0.9,15.400000,48.000000,60
2015-12-25T02:00:00,-70.5522,-11.5972,0.052,-3.0,991.4,0.8,15.400000,48.000000,120
2015-12-25T03:00:00,-70.5526,-11.5960,NaN,-3.2,991.4,0.5,15.400000,44.000000,0
2015-12-25T04:00:00,-70.5526,-11.5960,NaN,-3.1,991.7,0.5,15.400000,44.000000,60
2015-12-25T05:00:00,-70.5526,-11.5960,0.006,-2.9,992.0,0.6,15.400000,44.000000,120
2015-12-25T06:00:00,-70.5526,-11.6314,NaN,-2.2,992.1,0.7,15.400000,48.000000,0
2015-12-25T07:00:00,-70.5526,-11.6314,NaN,-0.8,992.4,0.7,15.400000,48.000000,60
2015-12-25T08:00:00,-70.5526,-11.6314,0.122,0.1,992.5,0.6,15.400000,48.000000,120
2015-12-25T09:00:00,-70.5632,-11.6814,NaN,0.6,992.8,0.7,15.400000,48.000000,0
