time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),submerged_boolean (none),accelometer_variance (),sampling_ratio (s)
2019-01-16T23:57:51,-65.7782,-60.5636,0.000,-40.0,1024.0,-4.6,0.0,0.0,10.0
2019-01-17T00:00:26,-65.7780,-60.5641,0.171,5.8,1024.0,-4.6,0.0,0.0,60.0
2019-01-17T01:00:26,-65.7760,-60.5741,0.142,0.8,992.6,25.5,0.0,4.0,60.0
2019-01-17T02:00:25,-65.7762,-60.5822,0.104,-1.3,992.7,25.5,0.0,4.0,60.0
2019-01-17T03:00:25,-65.7775,-60.5870,0.071,-0.4,992.7,25.5,0.0,3.0,60.0
2019-01-17T04:00:54,-65.7795,-60.5875,0.062,-0.9,992.8,0.2,0.0,3.0,60.0
2019-01-17T05:00:27,-65.7815,-60.5842,0.076,-1.6,992.6,-0.1,0.0,5.0,60.0
2019-01-17T06:00:26,-65.7828,-60.5779,0.090,-3.5,992.2,-0.5,0.0,3.0,60.0
2019-01-17T07:00:55,-65.7829,-60.5697,0.103,-4.5,992.0,-0.8,0.0,3.0,60.0
2019-01-17T08:00:26,-65.7816,-60.5614,0.115,-4.5,992.1,-0.5,0.0,3.0,60.0
2019-01-17T09:00:26,-65.7791,-60.5544,0.116,-2.1,992.2,0.0,0.0,4.0,60.0
2019-01-17T10:00:55,-65.7765,-60.5502,0.096,0.9,992.1,0.1,0.0,4.0,60.0
2019-01-17T11:00:26,-65.7741,-60.5498,0.074,2.9,992.1,0.0,0.0,4.0,60.0
2019-01-17T12:00:26,-65.7730,-60.5524,0.049,2.4,992.0,-0.2,0.0,4.0,60.0
2019-01-17T13:00:26,-65.7731,-60.5567,0.055,1.6,992.0,-0.1,0.0,3.0,60.0
2019-01-17T14:00:55,-65.7741,-60.5627,0.081,0.0,991.8,-0.3,0.0,3.0,60.0
2019-01-17T15:00:26,-65.7754,-60.5702,0.104,-0.3,991.8,-0.2,0.0,5.0,60.0
2019-01-17T16:00:26,-65.7766,-60.5781,0.107,-0.3,991.5,-0.5,0.0,3.0,60.0
2019-01-17T17:00:55,-65.7777,-60.5857,0.102,-0.7,991.4,-0.4,0.0,5.0,60.0
2019-01-17T18:00:26,-65.7779,-60.5937,0.103,-1.4,991.3,-0.5,0.0,5.0,60.0
2019-01-17T19:00:26,-65.7773,-60.6029,0.119,-1.6,991.1,-0.4,0.0,3.0,60.0
2019-01-17T20:00:55,-65.7766,-60.6120,0.116,-1.7,991.2,-0.2,0.0,3.0,60.0
2019-01-17T21:00:27,-65.7759,-60.6204,0.110,-2.0,991.4,0.1,0.0,4.0,60.0
2019-01-17T22:00:26,-65.7754,-60.6283,0.101,-2.2,991.4,0.3,0.0,3.0,60.0
2019-01-17T23:00:27,-65.7750,-60.6361,0.100,-3.0,991.8,0.6,0.0,6.0,60.0
2019-01-18T00:00:55,-65.7754,-60.6431,0.090,-3.5,991.8,0.4,0.0,4.0,60.0
2019-01-18T01:00:26,-65.7763,-60.6492,0.082,-3.8,991.9,0.5,0.0,3.0,60.0
2019-01-18T02:00:26,-65.7776,-60.6543,0.076,-4.0,991.9,0.1,0.0,5.0,60.0
2019-01-18T03:00:26,-65.7794,-60.6575,0.070,-4.2,992.0,0.2,0.0,4.0,60.0
2019-01-18T04:00:55,-65.7815,-60.6591,0.068,-4.4,991.8,-0.1,0.0,5.0,60.0
2019-01-18T05:00:26,-65.7835,-60.6598,0.062,-4.4,991.6,-0.3,0.0,3.0,60.0
2019-01-18T06:00:26,-65.7855,-60.6600,0.064,-4.5,991.6,-0.4,0.0,4.0,60.0
2019-01-18T07:00:55,-65.7875,-60.6609,0.061,-4.3,991.9,0.1,0.0,6.0,60.0
2019-01-18T08:00:26,-65.7891,-60.6621,0.052,-4.2,992.0,0.4,0.0,4.0,60.0
2019-01-18T09:00:26,-65.7905,-60.6637,0.049,-4.2,992.3,0.7,0.0,4.0,60.0
2019-01-18T10:00:55,-65.7923,-60.6645,0.057,-4.1,992.6,0.7,0.0,3.0,60.0
2019-01-18T11:00:27,-65.7945,-60.6642,0.069,-3.5,992.7,0.7,0.0,3.0,60.0
2019-01-18T12:00:26,-65.7971,-60.6635,0.080,-2.6,992.6,0.3,0.0,4.0,60.0
2019-01-18T13:00:26,-65.7998,-60.6631,0.086,-2.2,992.6,0.0,0.0,5.0,60.0
2019-01-18T14:00:54,-65.8026,-60.6631,0.086,-0.7,992.3,-0.4,0.0,3.0,60.0
2019-01-18T15:00:26,-65.8046,-60.6641,0.063,-0.1,992.0,-0.6,0.0,3.0,60.0
2019-01-18T16:00:26,-65.8058,-60.6671,0.053,-0.3,991.8,-0.8,0.0,4.0,60.0
2019-01-18T17:00:54,-65.8058,-60.6732,0.077,-0.7,991.6,-0.7,0.0,3.0,60.0
2019-01-18T18:00:26,-65.8052,-60.6816,0.108,-0.7,991.2,-0.8,0.0,3.0,60.0
2019-01-18T19:00:26,-65.8044,-60.6922,0.137,-0.8,990.8,-1.0,0.0,3.0,60.0
2019-01-18T20:00:55,-65.8036,-60.7039,0.150,-1.6,990.5,-1.1,0.0,5.0,60.0
2019-01-18T21:00:26,-65.8030,-60.7152,0.146,-1.9,990.0,-1.2,0.0,3.0,60.0
2019-01-18T22:00:26,-65.8028,-60.7254,0.130,-2.8,989.7,-1.1,0.0,4.0,60.0
2019-01-18T23:00:27,-65.8029,-60.7340,0.110,-3.0,989.1,-1.4,0.0,5.0,60.0
2019-01-19T00:00:54,-65.8035,-60.7412,0.093,-3.3,988.6,-1.4,0.0,5.0,60.0
2019-01-19T01:00:26,-65.8044,-60.7480,0.091,-3.6,988.2,-1.5,0.0,4.0,60.0
2019-01-19T02:00:26,-65.8053,-60.7539,0.081,-3.6,987.3,-1.8,0.0,5.0,60.0
2019-01-19T03:00:26,-65.8065,-60.7587,0.072,-4.0,986.8,-1.8,0.0,2.0,60.0
2019-01-19T04:00:54,-65.8079,-60.7629,0.067,-4.1,985.9,-2.3,0.0,4.0,60.0
2019-01-19T05:00:26,-65.8093,-60.7674,0.072,-4.0,984.8,-2.5,0.0,3.0,60.0
2019-01-19T06:00:26,-65.8106,-60.7725,0.078,-3.9,984.1,-2.7,0.0,4.0,60.0
2019-01-19T07:00:54,-65.8121,-60.7791,0.094,-3.9,983.2,-2.7,0.0,4.0,60.0
