Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, BP, BPT, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2019-10-15 06:30:00, -56.508400, 27.580800, 40, 2019, 10, 15, 6, 30, 0.8, 976.0, 0.6, 14.4, 0, 44, 52, 11, 28274799E9D930417FFBC2FFC000A3889FACA06AFF
2019-10-15 06:00:00, -56.506000, 27.572400, 40, 2019, 10, 15, 6, 0, 0.8, 975.6, 0.4, 14.4, 0, 44, 30, 8, 2827479809D13040FFFBC23FC000A38B9FAC4C3EFF
2019-10-15 05:30:00, -56.502000, 27.564800, 40, 2019, 10, 15, 5, 30, 0.8, 975.4, 0.5, 14.4, 0, 44, 28, 10, 28274795E9CD30413FFBC2BFC000A3909FAC003AFF
2019-10-15 05:00:00, -56.498200, 27.557200, 40, 2019, 10, 15, 5, 0, 0.8, 975.4, 0.8, 14.4, 0, 44, 30, 8, 2827479409CD3041FFFBC23FC000A3955FABB43EFF
2019-10-15 04:30:00, -56.494000, 27.550800, 40, 2019, 10, 15, 4, 30, 0.8, 975.3, -0.2, 14.4, 0, 44, 30, 7, 28274791E9CB303F7FFBC1FFC000A39A9FAB743EFF
2019-10-15 04:00:00, -56.489400, 27.544400, 40, 2019, 10, 15, 4, 0, 0.8, 974.9, -0.2, 14.4, 0, 44, 26, 11, 2827479009C3303F7FFBC2FFC000A3A05FAB3436FF
2019-10-15 03:30:00, -56.484200, 27.538600, 40, 2019, 10, 15, 3, 30, 0.8, 974.6, 0.0, 14.4, 0, 44, 60, 18, 2827478DE9BD303FFFFBC4BFC000A3A6DFAAFA7AFF
2019-10-15 03:00:00, -56.479000, 27.532600, 40, 2019, 10, 15, 3, 0, 0.8, 975.5, 0.6, 14.4, 0, 44, 30, 21, 2827478C09CF30417FFBC57FC000A3AD5FAABE3EFF
2019-10-15 02:30:00, -56.473400, 27.528400, 40, 2019, 10, 15, 2, 30, 0.8, 975.1, 0.6, 14.4, 0, 44, 34, 19, 28274789E9C730417FFBC4FFC000A3B45FAA9446FF
2019-10-15 02:00:00, -56.468200, 27.524800, 40, 2019, 10, 15, 2, 0, 0.8, 974.6, 0.0, 14.4, 0, 44, 30, 16, 2827478809BD303FFFFBC43FC000A3BADFAA703EFF
2019-10-15 01:30:00, -56.462000, 27.523800, 40, 2019, 10, 15, 1, 30, 0.8, 974.9, 0.0, 14.4, 0, 44, 52, 10, 28274785E9C3303FFFFBC2BFC000A3C29FAA666AFF
2019-10-15 01:00:00, -56.454400, 27.523200, 40, 2019, 10, 15, 1, 0, 0.8, 974.5, -1.1, 14.4, 0, 44, 26, 7, 2827478409BB303D3FFBC1FFC000A3CC1FAA6036FF
2019-10-15 00:30:00, -56.446800, 27.524000, 40, 2019, 10, 15, 0, 30, 0.8, 974.6, -1.4, 14.4, 0, 44, 30, 7, 28274781E9BD303C7FFBC1FFC000A3D59FAA683EFF
2019-10-15 00:00:00, -56.439800, 27.524800, 40, 2019, 10, 15, 0, 0, 0.8, 974.8, -1.5, 14.4, 0, 44, 28, 11, 2827478009C1303C3FFBC2FFC000A3DE5FAA703AFF
2019-10-14 23:30:00, -56.432600, 27.525800, 40, 2019, 10, 14, 23, 30, 0.8, 975.6, -0.8, 14.4, 0, 40, 54, 9, 2827475DE9D1303DFFFBC27FC000A3E75FAA7A6EBF
2019-10-14 23:00:00, -56.425400, 27.527400, 40, 2019, 10, 14, 23, 0, 0.8, 976.0, 0.1, 14.4, 0, 44, 30, 10, 2827475C09D930403FFBC2BFC000A3F05FAA8A3EFF
2019-10-14 22:30:00, -56.418800, 27.528600, 40, 2019, 10, 14, 22, 30, 0.8, 976.3, 0.3, 14.4, 0, 44, 46, 9, 28274759E9DF3040BFFBC27FC000A3F89FAA965EFF
2019-10-14 22:00:00, -56.411600, 27.530600, 40, 2019, 10, 14, 22, 0, 0.8, 976.3, 0.1, 14.4, 0, 44, 34, 11, 2827475809DF30403FFBC2FFC000A4019FAAAA46FF
2019-10-14 21:30:00, -56.405000, 27.533400, 40, 2019, 10, 14, 21, 30, 0.8, 975.9, -0.5, 14.4, 0, 44, 34, 9, 28274755E9D7303EBFFBC27FC000A409DFAAC646FF
2019-10-14 21:00:00, -56.399600, 27.534800, 40, 2019, 10, 14, 21, 0, 0.8, 976.0, -0.3, 14.4, 0, 44, 84, 9, 2827475409D9303F3FFBC27FC000A4109FAAD4AAFF
2019-10-14 20:30:00, -56.394000, 27.536200, 40, 2019, 10, 14, 20, 30, 0.7, 976.2, -0.6, 14.4, 0, 44, 46, 10, 28274751E9DD2FBE7FFBC2BFC000A4179FAAE25EFF
2019-10-14 20:00:00, -56.388000, 27.538200, 40, 2019, 10, 14, 20, 0, 0.7, 976.4, -0.6, 14.4, 0, 44, 54, 7, 2827475009E12FBE7FFBC1FFC000A41F1FAAF66EFF
2019-10-14 19:30:00, -56.383000, 27.541000, 40, 2019, 10, 14, 19, 30, 0.7, 976.3, -1.1, 14.4, 0, 40, 54, 8, 2827474DE9DF2FBD3FFBC23FC000A4255FAB126EBF
2019-10-14 19:00:00, -56.377800, 27.543400, 40, 2019, 10, 14, 19, 0, 0.7, 976.8, -0.7, 14.4, 0, 44, 30, 8, 2827474C09E92FBE3FFBC23FC000A42BDFAB2A3EFF
2019-10-14 18:30:00, -56.373000, 27.545000, 40, 2019, 10, 14, 18, 30, 0.6, 977.0, -0.6, 14.4, 0, 44, 30, 18, 28274749E9ED2F3E7FFBC4BFC000A431DFAB3A3EFF
2019-10-14 18:00:00, -56.368400, 27.544000, 40, 2019, 10, 14, 18, 0, 0.7, 977.4, -0.6, 14.4, 0, 44, 48, 11, 2827474809F52FBE7FFBC2FFC000A4379FAB3062FF
2019-10-14 17:30:00, -56.363600, 27.541800, 40, 2019, 10, 14, 17, 30, 0.7, 977.5, -0.9, 14.4, 0, 44, 34, 10, 28274745E9F72FBDBFFBC2BFC000A43D9FAB1A46FF
2019-10-14 17:00:00, -56.359000, 27.538400, 40, 2019, 10, 14, 17, 0, 0.7, 977.6, -1.2, 14.4, 0, 44, 34, 10, 2827474409F92FBCFFFBC2BFC000A4435FAAF846FF
2019-10-14 16:30:00, -56.354800, 27.535400, 40, 2019, 10, 14, 16, 30, 0.8, 978.0, -0.9, 14.4, 0, 44, 30, 7, 28274741EA01303DBFFBC1FFC000A4489FAADA3EFF
2019-10-14 16:00:00, -56.349800, 27.532800, 40, 2019, 10, 14, 16, 0, 0.8, 978.5, -0.9, 14.4, 0, 44, 30, 7, 282747400A0B303DBFFBC1FFC000A44EDFAAC03EFF
2019-10-14 15:30:00, -56.344400, 27.530600, 40, 2019, 10, 14, 15, 30, 0.8, 978.8, -1.1, 14.4, 0, 44, 28, 20, 2827473DEA11303D3FFBC53FC000A4559FAAAA3AFF
2019-10-14 15:00:00, -56.338800, 27.528800, 40, 2019, 10, 14, 15, 0, 0.8, 978.9, -1.1, 14.4, 0, 40, 42, 9, 2827473C0A13303D3FFBC27FC000A45C9FAA9856BF
2019-10-14 14:30:00, -56.333200, 27.526600, 40, 2019, 10, 14, 14, 30, 0.8, 979.3, -0.7, 14.4, 0, 44, 30, 8, 28274739EA1B303E3FFBC23FC000A4639FAA823EFF
2019-10-14 14:00:00, -56.326600, 27.525800, 40, 2019, 10, 14, 14, 0, 0.8, 979.9, -0.4, 14.4, 0, 40, 30, 11, 282747380A27303EFFFBC2FFC000A46BDFAA7A3EBF
