time,lat,lon,drift,dir,dist_from_start
2022-07-19T16:05:09,-58.6679724,-1.1425332,0.0,0,0
2022-07-19T17:00:39,-58.5907469,-0.9618847,14.6,51,14
2022-07-19T17:30:29,-58.5530519,-0.8884924,6.5,45,19
2022-07-19T18:00:38,-58.5496672,-0.8759893,0.9,63,20
2022-07-19T18:30:26,-58.5479811,-0.8556886,1.3,81,21
2022-07-19T18:30:40,-58.5479975,-0.8556416,0.0,124,21
2022-07-19T19:31:25,-58.5421699,-0.8273912,1.9,68,23
2022-07-19T20:00:25,-58.5388271,-0.8144168,0.9,64,24
2022-07-19T20:30:29,-58.5351637,-0.8017821,0.9,61,25
2022-07-19T21:00:38,-58.5305177,-0.7903359,0.9,52,25
2022-07-19T21:30:27,-58.5255944,-0.779881,0.9,48,26
2022-07-19T22:00:38,-58.5204892,-0.7695362,0.9,47,27
2022-07-19T22:30:26,-58.5158782,-0.7614298,0.8,43,28
2022-07-19T23:00:38,-58.5121201,-0.755145,0.6,41,28
2022-07-19T23:30:26,-58.508326,-0.7488143,0.6,41,29
2022-07-20T00:00:36,-58.5039711,-0.7429198,0.6,35,29
2022-07-20T00:30:29,-58.4996902,-0.7374877,0.6,34,30
2022-07-20T01:00:40,-58.4958635,-0.7326549,0.6,33,31
2022-07-20T01:30:27,-58.4924674,-0.7283113,0.5,34,31
2022-07-20T02:00:37,-58.4894126,-0.7235525,0.5,39,31
2022-07-20T02:30:25,-58.4870426,-0.7183907,0.4,49,32
2022-07-20T03:00:39,-58.4847523,-0.7139073,0.4,46,32
2022-07-20T03:30:25,-58.4823069,-0.7100184,0.4,40,32
2022-07-20T04:00:36,-58.4798831,-0.7058821,0.4,42,33
2022-07-20T04:30:26,-58.4778839,-0.7019297,0.3,46,33
2022-07-20T05:00:39,-58.4759781,-0.6979664,0.3,47,33
2022-07-20T05:30:26,-58.4744841,-0.692831,0.4,61,34
2022-07-20T06:00:39,-58.4738135,-0.6863888,0.4,79,34
2022-07-20T06:30:31,-58.4730988,-0.6790554,0.5,79,35
2022-07-20T07:00:40,-58.471889,-0.6706202,0.5,75,35
2022-07-20T07:30:27,-58.4702018,-0.6627987,0.5,68,35
2022-07-20T08:00:38,-58.4676463,-0.6538457,0.6,61,36
2022-07-20T08:30:28,-58.4641526,-0.6456719,0.7,51,37
2022-07-20T09:00:39,-58.4605434,-0.6379486,0.7,48,37
2022-07-20T09:30:27,-58.4564404,-0.6309531,0.7,42,38
2022-07-20T10:00:38,-58.4520513,-0.6255174,0.6,33,38
2022-07-20T10:30:25,-58.4474882,-0.6205396,0.6,30,39
2022-07-20T11:00:37,-58.4435953,-0.6158599,0.6,32,39
2022-07-20T11:30:28,-58.4394916,-0.6097064,0.6,38,40
2022-07-20T12:00:39,-58.4347645,-0.6043036,0.7,31,41
