Calc_time (UTC),Bat_vol (V),Latitude (deg),Longitude (deg),Hm0 (m),Pdirnaut (deg),Tm01 (s),Hmax_up (m),Crest (m),Meandir (deg),Spread (deg),Peakper (s),Tmm10 (s),Tm02 (s),drift,dir,dist_from_start
2022.07.19 08:39:36,3.54,-58.227314,-1.3431702,0.867,329,6.7,1.316,0.642,327,25,10.6,8.8,5.2,0.0,0,0
2022.07.19 09:01:27,3.5,-58.2250748,-1.3366625,0.766,328,7.0,1.106,0.705,328,30,9.6,9.1,5.4,0.5,57,0
2022.07.19 09:23:17,3.51,-58.2228241,-1.3301312,0.973,315,8.7,1.341,0.773,310,38,10.6,11.2,7.7,0.5,57,1
2022.07.19 09:45:08,3.53,-58.2206535,-1.3232684,0.873,290,8.2,1.817,0.827,292,23,9.6,8.9,7.7,0.5,59,1
2022.07.19 10:06:59,3.51,-58.2179642,-1.315028,0.77,320,7.8,1.125,0.607,326,24,9.6,8.7,7.1,0.6,58,2
2022.07.19 10:28:50,3.52,-58.2162247,-1.3076818,0.842,330,8.1,1.282,0.699,333,23,9.6,9.0,7.5,0.5,66,2
2022.07.19 10:50:40,3.51,-58.2144432,-1.3001753,0.879,319,8.0,1.268,0.635,324,32,9.6,9.4,7.3,0.5,66,3
2022.07.19 11:12:31,3.5,-58.212059,-1.290971,0.885,321,8.1,1.257,0.699,321,27,9.6,9.2,7.4,0.6,64,3
2022.07.19 11:34:22,3.49,-58.2100868,-1.2835897,0.783,323,7.9,1.161,0.675,329,25,9.6,8.6,7.5,0.5,63,4
2022.07.19 11:56:13,3.5,-58.2073021,-1.2742378,0.764,302,8.1,1.297,0.629,298,24,10.6,8.9,7.6,0.7,61,5
2022.07.19 12:18:03,3.49,-58.2051468,-1.267163,0.834,331,8.0,1.546,0.835,333,22,9.6,8.8,7.5,0.5,60,5
2022.07.19 12:39:54,3.49,-58.2033234,-1.26065,0.839,325,7.6,1.157,0.656,332,23,9.6,8.4,7.2,0.5,62,6
2022.07.19 13:01:45,3.48,-58.201313,-1.2517906,0.769,338,7.3,1.228,0.679,333,24,10.6,8.2,6.8,0.6,67,6
2022.07.19 13:23:35,3.48,-58.1999245,-1.244346,0.69,286,7.2,1.107,0.591,299,33,10.6,8.4,6.5,0.5,71,7
2022.07.19 13:45:26,3.49,-58.1986351,-1.2364959,0.796,315,7.8,1.394,0.759,322,24,9.6,8.6,7.3,0.5,73,7
2022.07.19 14:07:17,3.5,-58.1969872,-1.2271253,0.7,330,7.6,0.992,0.575,330,25,10.6,8.4,7.1,0.6,72,8
2022.07.19 14:29:08,3.5,-58.1956558,-1.2187858,0.771,319,8.1,1.168,0.67,321,25,9.6,8.8,7.7,0.6,73,8
2022.07.19 14:50:58,3.5,-58.1942062,-1.2077217,0.663,335,7.7,1.07,0.586,330,30,9.6,8.4,7.4,0.7,76,9
2022.07.19 15:12:49,3.51,-58.1931953,-1.1978108,0.744,297,7.6,1.022,0.542,305,23,6.1,8.1,7.3,0.6,79,9
2022.07.19 15:34:40,3.52,-58.1921234,-1.1878216,0.659,332,7.9,1.014,0.591,328,24,10.6,8.6,7.5,0.6,79,10
2022.07.19 15:56:30,3.51,-58.1905022,-1.1753876,0.746,327,8.2,1.078,0.647,328,26,8.7,8.6,7.9,0.8,76,11
2022.07.19 16:18:21,3.52,-58.1890259,-1.1652566,0.686,318,7.6,1.143,0.589,312,25,6.9,8.1,7.3,0.7,75,11
2022.07.19 16:40:12,3.5,-58.1870766,-1.1544049,0.684,328,7.9,1.008,0.523,331,28,9.6,8.5,7.7,0.7,71,12
2022.07.19 17:02:03,3.48,-58.1844025,-1.1410407,0.587,328,8.5,0.901,0.464,326,26,10.6,9.1,8.1,0.9,69,13
2022.07.19 17:23:53,3.5,-58.1822853,-1.1303618,0.6,303,7.9,0.99,0.548,300,27,6.9,8.5,7.7,0.7,69,13
2022.07.19 17:45:44,3.51,-58.1790352,-1.1178215,0.593,314,8.1,0.834,0.477,311,27,8.7,8.6,7.8,0.9,64,14
2022.07.19 18:07:35,3.51,-58.176609,-1.1084083,0.73,307,8.2,1.145,0.704,315,23,9.6,8.7,8.0,0.7,64,15
2022.07.19 18:29:25,3.51,-58.1740036,-1.0996723,0.581,308,8.3,0.946,0.458,308,30,9.6,8.8,8.0,0.6,61,15
2022.07.19 18:51:16,3.52,-58.17099,-1.088944,0.516,297,8.3,0.753,0.387,297,29,8.0,8.7,8.1,0.8,62,16
2022.07.19 19:13:07,3.52,-58.1687546,-1.0800488,0.621,305,8.3,1.081,0.623,309,27,9.6,8.8,8.1,0.6,65,17
2022.07.19 19:34:58,3.5,-58.166687,-1.0708028,0.621,298,8.6,0.946,0.505,300,25,9.6,9.0,8.4,0.6,67,17
2022.07.19 19:56:48,3.51,-58.1639671,-1.0593882,0.61,322,8.4,1.108,0.606,313,27,9.6,8.9,8.2,0.8,66,18
2022.07.19 20:18:39,3.52,-58.1618958,-1.0507267,0.601,332,8.4,0.82,0.471,332,24,9.6,8.7,8.2,0.6,66,19
2022.07.19 20:40:30,3.51,-58.1600647,-1.0421495,0.622,322,8.1,0.999,0.481,329,26,9.6,8.5,7.9,0.6,68,19
2022.07.19 21:02:21,3.52,-58.1574287,-1.0314653,0.652,319,7.9,1.023,0.533,323,23,9.6,8.3,7.7,0.7,65,20
2022.07.19 21:24:11,3.52,-58.1555634,-1.0235209,0.668,298,8.0,1.02,0.545,297,24,9.6,8.4,7.8,0.6,66,20
2022.07.19 21:46:02,3.52,-58.1532364,-1.0142373,0.632,299,8.2,1.128,0.55,296,24,9.6,8.7,8.0,0.7,65,21
2022.07.19 22:07:53,3.51,-58.1512375,-1.0071235,0.642,296,8.0,0.938,0.54,293,27,8.7,8.5,7.8,0.5,62,21
